name,version,language,repository,license,license-url,license-source
@traptitech/markdown-it-katex,3.6.0,js,https://github.com/traPtitech/markdown-it-katex,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
axios,0.28.0,js,https://github.com/axios/axios,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
find-pkg-dir,2.0.0,js,https://github.com/shinnn/find-pkg-dir,ISC,https://spdx.org/licenses/ISC.html,npm show (normalized)
fs-extra,8.1.0,js,https://github.com/jprichardson/node-fs-extra,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
gulp,4.0.2,js,https://github.com/gulpjs/gulp,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
gulp-clean-css,4.3.0,js,https://github.com/scniro/gulp-clean-css,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
gulp-concat,2.6.1,js,https://github.com/contra/gulp-concat,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
gulp-terser,1.2.0,js,https://github.com/duan602728596/gulp-terser,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
markdown-it,13.0.1,js,https://github.com/markdown-it/markdown-it,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
markdown-it-anchor,5.2.5,js,https://github.com/valeriangalliat/markdown-it-anchor,Unlicense,https://spdx.org/licenses/Unlicense.html,npm show (normalized)
markdown-it-attrs,4.1.4,js,https://github.com/arve0/markdown-it-attrs,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
markdown-it-chart,0.2.0,js,https://github.com/tylingsoft/markdown-it-chart,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
markdown-it-container,2.0.0,js,https://github.com/markdown-it/markdown-it-container,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
markdown-it-deflist,2.1.0,js,https://github.com/markdown-it/markdown-it-deflist,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
markdown-it-icons,0.4.1,js,https://github.com/tylingsoft/markdown-it-icons,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
markdown-it-ins,2.0.0,js,https://github.com/markdown-it/markdown-it-ins,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
markdown-it-mark,2.0.0,js,https://github.com/markdown-it/markdown-it-mark,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
markdown-it-modify-token,1.0.2,js,https://github.com/jeffbski/markdown-it-modify-token,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
markdown-it-multimd-table,4.1.3,js,https://github.com/redbug312/markdown-it-multimd-table,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
markdown-it-prism,2.2.4,js,https://github.com/jGleitz/markdown-it-prism,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
markdown-it-references,1.0.0-alpha.10,js,https://github.com/studyathome-internationally/markdown-it-plugins,GPL-3.0,https://spdx.org/licenses/GPL-3.0.html,npm show (normalized)
markdown-it-sub,1.0.0,js,https://github.com/markdown-it/markdown-it-sub,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
markdown-it-sup,1.0.0,js,https://github.com/markdown-it/markdown-it-sup,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
markdown-it-task-lists,2.1.1,js,https://github.com/revin/markdown-it-task-lists,ISC,https://spdx.org/licenses/ISC.html,npm show (normalized)
markdown-it-textual-uml,0.1.3,js,https://github.com/manastalukdar/markdown-it-textual-uml,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
markdown-it-toc-and-anchor,4.2.0,js,https://github.com/medfreeman/markdown-it-toc-and-anchor,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
merge-stream,2.0.0,js,https://github.com/grncdr/merge-stream,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
pkg-dir,4.2.0,js,https://github.com/sindresorhus/pkg-dir,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
prismjs,1.28.0,js,https://github.com/PrismJS/prism,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
yargs,16.2.0,js,https://github.com/yargs/yargs,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
