name,version,repository,license,license-url,license-source
aead,v0.5.2,https://github.com/RustCrypto/traits,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/aead
aes,v0.8.3,https://github.com/RustCrypto/block-ciphers,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/aes
aes-gcm,v0.10.3,https://github.com/RustCrypto/AEADs,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/aes-gcm
ahash,v0.8.6,https://github.com/tkaitchuck/ahash,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/ahash
aho-corasick,v1.1.2,https://github.com/BurntSushi/aho-corasick,Unlicense OR MIT,UNKNOWN,https://crates.io/api/v1/crates/aho-corasick
allocator-api2,v0.2.16,https://github.com/zakarumych/allocator-api2,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/allocator-api2
anes,v0.1.6,https://github.com/zrzka/anes-rs,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/anes
anstyle,v1.0.4,https://github.com/rust-cli/anstyle.git,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/anstyle
arc-swap,v1.6.0,https://github.com/vorner/arc-swap,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/arc-swap
argon2,v0.5.2,https://github.com/RustCrypto/password-hashes/tree/master/argon2,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/argon2
aries-askar,v0.3.2,https://github.com/hyperledger/aries-askar/,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/hyperledger/aries-askar (normalized)
askar-crypto,v0.3.2,https://github.com/hyperledger/aries-askar/,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/hyperledger/aries-askar (normalized)
askar-storage,v0.1.1,https://github.com/hyperledger/aries-askar/,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/askar-storage
async-lock,v3.2.0,https://github.com/smol-rs/async-lock,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/async-lock
async-stream,v0.3.5,https://github.com/tokio-rs/async-stream,MIT,https://api.github.com/licenses/mit,https://crates.io/api/v1/crates/async-stream (normalized)
async-stream-impl,v0.3.5,https://github.com/tokio-rs/async-stream,MIT,https://api.github.com/licenses/mit,https://crates.io/api/v1/crates/async-stream-impl (normalized)
atoi,v2.0.0,https://github.com/pacman82/atoi-rs,MIT,https://api.github.com/licenses/mit,https://crates.io/api/v1/crates/atoi (normalized)
atomic-write-file,v0.1.2,https://github.com/andreacorbellini/rust-atomic-write-file,BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,https://crates.io/api/v1/crates/atomic-write-file (normalized)
autocfg,v1.1.0,https://github.com/cuviper/autocfg,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/autocfg
base16ct,v0.2.0,https://github.com/RustCrypto/formats/tree/master/base16ct,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/base16ct
base64,v0.21.5,https://github.com/marshallpierce/rust-base64,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/base64
base64ct,v1.6.0,https://github.com/RustCrypto/formats/tree/master/base64ct,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/base64ct
bitflags,v2.4.1,https://github.com/bitflags/bitflags,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/bitflags
blake2,v0.10.6,https://github.com/RustCrypto/hashes,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/blake2
block-buffer,v0.10.4,https://github.com/RustCrypto/utils,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/block-buffer
block-modes,v0.9.1,UNKNOWN,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/block-modes
block-padding,v0.3.3,https://github.com/RustCrypto/utils,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/block-padding
bls12_381,v0.8.0,https://github.com/zkcrypto/bls12_381,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/bls12_381
bs58,v0.5.0,https://github.com/Nullus157/bs58-rs,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/bs58
byteorder,v1.5.0,https://github.com/BurntSushi/byteorder,Unlicense OR MIT,UNKNOWN,https://crates.io/api/v1/crates/byteorder
bytes,v1.5.0,https://github.com/tokio-rs/bytes,MIT,https://api.github.com/licenses/mit,https://crates.io/api/v1/crates/bytes (normalized)
cast,v0.3.0,https://github.com/japaric/cast.rs,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/cast
