name,version,language,repository,license,license-url,license-source
aries-bbssignatures,v0.1.0,rust,https://github.com/hyperledger/aries-bbssignatures-rs,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://crates.io/api/v1/crates/aries-bbssignatures (normalized)
arrayref,v0.3.7,rust,https://github.com/droundy/arrayref,BSD-2-Clause,https://spdx.org/licenses/BSD-2-Clause.html,https://crates.io/api/v1/crates/arrayref (normalized)
autocfg,v1.1.0,rust,https://github.com/cuviper/autocfg,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/autocfg
blake2,v0.8.1,rust,https://github.com/RustCrypto/hashes,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/blake2
byte-tools,v0.3.1,rust,https://github.com/RustCrypto/utils,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/byte-tools
byteorder,v1.4.3,rust,https://github.com/BurntSushi/byteorder,Unlicense OR MIT,UNKNOWN,https://crates.io/api/v1/crates/byteorder
cfg-if,v1.0.0,rust,https://github.com/alexcrichton/cfg-if,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/cfg-if
crossbeam-channel,v0.5.8,rust,https://github.com/crossbeam-rs/crossbeam,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/crossbeam-channel
crossbeam-deque,v0.8.3,rust,https://github.com/crossbeam-rs/crossbeam,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/crossbeam-deque
crossbeam-epoch,v0.9.14,rust,https://github.com/crossbeam-rs/crossbeam,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/crossbeam-epoch
crossbeam-utils,v0.8.15,rust,https://github.com/crossbeam-rs/crossbeam,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/crossbeam-utils
crypto-mac,v0.7.0,rust,https://github.com/RustCrypto/traits,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/crypto-mac
digest,v0.8.1,rust,https://github.com/RustCrypto/traits,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/digest
either,v1.8.1,rust,https://github.com/bluss/either,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/either
ff-zeroize,v0.6.3,rust,https://github.com/algorand/ff-zeroize,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/ff-zeroize
ff_derive-zeroize,v0.6.2,rust,https://github.com/ebfull/ff,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/ff_derive-zeroize
generic-array,v0.12.4,rust,https://github.com/fizyk20/generic-array.git,MIT,https://spdx.org/licenses/MIT.html,https://crates.io/api/v1/crates/generic-array (normalized)
getrandom,v0.1.16,rust,https://github.com/rust-random/getrandom,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/getrandom
hex,v0.4.3,rust,https://github.com/KokaKiwi/rust-hex,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/hex
hkdf,v0.8.0,rust,https://github.com/RustCrypto/KDFs/,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/hkdf
hmac,v0.7.1,rust,https://github.com/RustCrypto/MACs,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/hmac
libc,v0.2.142,rust,https://github.com/rust-lang/libc,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/libc
memoffset,v0.8.0,rust,https://github.com/Gilnaa/memoffset,MIT,https://spdx.org/licenses/MIT.html,https://crates.io/api/v1/crates/memoffset (normalized)
num-bigint,v0.2.6,rust,https://github.com/rust-num/num-bigint,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/num-bigint
num-integer,v0.1.45,rust,https://github.com/rust-num/num-integer,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/num-integer
num-traits,v0.2.15,rust,https://github.com/rust-num/num-traits,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/num-traits
num_cpus,v1.15.0,rust,https://github.com/seanmonstar/num_cpus,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/num_cpus
opaque-debug,v0.2.3,rust,https://github.com/RustCrypto/utils,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/opaque-debug
pairing-plus,v0.19.0,rust,https://github.com/algorand/pairing-plus,MIT,https://spdx.org/licenses/MIT.html,https://crates.io/api/v1/crates/pairing-plus (normalized)
ppv-lite86,v0.2.17,rust,https://github.com/cryptocorrosion/cryptocorrosion,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/ppv-lite86
proc-macro2,v1.0.56,rust,https://github.com/dtolnay/proc-macro2,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/proc-macro2
quote,v1.0.26,rust,https://github.com/dtolnay/quote,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/quote
rand,v0.4.6,rust,https://github.com/rust-lang-nursery/rand,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/rand
rand,v0.7.3,rust,https://github.com/rust-random/rand,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/rand
rand_chacha,v0.2.2,rust,https://github.com/rust-random/rand,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/rand_chacha
rand_core,v0.5.1,rust,https://github.com/rust-random/rand,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/rand_core
rand_xorshift,v0.2.0,rust,https://github.com/rust-random/rand,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/rand_xorshift
rayon,v1.7.0,rust,https://github.com/rayon-rs/rayon,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/rayon
rayon-core,v1.11.0,rust,https://github.com/rayon-rs/rayon,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/rayon-core
scopeguard,v1.1.0,rust,https://github.com/bluss/scopeguard,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/scopeguard
serde,v1.0.160,rust,https://github.com/serde-rs/serde,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/serde
serde_derive,v1.0.160,rust,https://github.com/serde-rs/serde,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/serde_derive
subtle,v1.0.0,rust,https://github.com/dalek-cryptography/subtle,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://crates.io/api/v1/crates/subtle (normalized)
subtle,v2.5.0,rust,https://github.com/dalek-cryptography/subtle,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://crates.io/api/v1/crates/subtle (normalized)
syn,v1.0.109,rust,https://github.com/dtolnay/syn,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/syn
syn,v2.0.15,rust,https://github.com/dtolnay/syn,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/syn
thiserror,v1.0.40,rust,https://github.com/dtolnay/thiserror,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/thiserror
thiserror-impl,v1.0.40,rust,https://github.com/dtolnay/thiserror,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/thiserror-impl
typenum,v1.16.0,rust,https://github.com/paholg/typenum,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/typenum
unicode-ident,v1.0.8,rust,https://github.com/dtolnay/unicode-ident,(MIT OR Apache-2.0) AND Unicode-DFS-2016,UNKNOWN,https://crates.io/api/v1/crates/unicode-ident
zeroize,v1.6.0,rust,https://github.com/RustCrypto/utils/tree/master/zeroize,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/zeroize
zeroize_derive,v1.4.2,rust,https://github.com/RustCrypto/utils/tree/master/zeroize/derive,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/zeroize_derive
