name,version,repository,license,license-url,license-source
cloud.google.com/go,v0.26.0,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/compute,v1.24.0,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/compute/metadata,v0.2.3,unknown,Unknown,Unknown,Unknown
github.com/BurntSushi/toml,v0.3.1,https://github.com/BurntSushi/toml,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/BurntSushi/toml (normalized)
github.com/IBM/sarama,v1.43.1,https://github.com/IBM/sarama,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/IBM/sarama (normalized)
github.com/Knetic/govaluate,v3.0.0+incompatible,https://github.com/Knetic/govaluate,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/Knetic/govaluate (normalized)
github.com/benbjohnson/clock,v1.1.0,https://github.com/benbjohnson/clock,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/benbjohnson/clock (normalized)
github.com/census-instrumentation/opencensus-proto,v0.2.1,https://github.com/census-instrumentation/opencensus-proto,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/census-instrumentation/opencensus-proto (normalized)
github.com/census-instrumentation/opencensus-proto,v0.4.1,https://github.com/census-instrumentation/opencensus-proto,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/census-instrumentation/opencensus-proto (normalized)
github.com/cespare/xxhash/v2,v2.2.0,https://github.com/cespare/xxhash/v2,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/cespare/xxhash (normalized)
github.com/chzyer/logex,v1.1.10,https://github.com/chzyer/logex,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/chzyer/logex (normalized)
github.com/chzyer/readline,v0.0.0-20180603132655-2972be24d48e,https://github.com/chzyer/readline,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/chzyer/readline (normalized)
github.com/chzyer/test,v0.0.0-20180213035817-a1ea475d72b1,https://github.com/chzyer/test,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/chzyer/test (normalized)
github.com/client9/misspell,v0.3.4,https://github.com/client9/misspell,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/client9/misspell (normalized)
github.com/cncf/udpa/go,v0.0.0-20191209042840-269d4d468f6f,https://github.com/cncf/udpa/go,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/cncf/udpa (normalized)
github.com/cncf/xds/go,v0.0.0-20231128003011-0fa0005c9caa,https://github.com/cncf/xds/go,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/cncf/xds (normalized)
github.com/cucumber/gherkin/go/v26,v26.2.0,https://github.com/cucumber/gherkin/go/v26,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/cucumber/gherkin (normalized)
github.com/cucumber/godog,v0.13.0,https://github.com/cucumber/godog,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/cucumber/godog (normalized)
github.com/cucumber/messages/go/v21,v21.0.1,https://github.com/cucumber/messages/go/v21,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/cucumber/messages (normalized)
github.com/davecgh/go-spew,v1.1.0,https://github.com/davecgh/go-spew,ISC,https://api.github.com/licenses/isc,https://api.github.com/repos/davecgh/go-spew (normalized)
github.com/davecgh/go-spew,v1.1.1,https://github.com/davecgh/go-spew,ISC,https://api.github.com/licenses/isc,https://api.github.com/repos/davecgh/go-spew (normalized)
github.com/eapache/go-resiliency,v1.6.0,https://github.com/eapache/go-resiliency,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/eapache/go-resiliency (normalized)
github.com/eapache/go-xerial-snappy,v0.0.0-20230731223053-c322873962e3,https://github.com/eapache/go-xerial-snappy,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/eapache/go-xerial-snappy (normalized)
github.com/eapache/queue,v1.1.0,https://github.com/eapache/queue,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/eapache/queue (normalized)
github.com/envoyproxy/go-control-plane,v0.12.0,https://github.com/envoyproxy/go-control-plane,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/envoyproxy/go-control-plane (normalized)
github.com/envoyproxy/go-control-plane,v0.9.0,https://github.com/envoyproxy/go-control-plane,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/envoyproxy/go-control-plane (normalized)
github.com/envoyproxy/go-control-plane,v0.9.1-0.20191026205805-5f8ba28d4473,https://github.com/envoyproxy/go-control-plane,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/envoyproxy/go-control-plane (normalized)
github.com/envoyproxy/go-control-plane,v0.9.4,https://github.com/envoyproxy/go-control-plane,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/envoyproxy/go-control-plane (normalized)
