name,version,language,repository,license,license-url,license-source
com.google.android:annotations,4.1.1.4,java,UNKNOWN,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.google.android:annotations:4.1.1.4) (normalized)
com.google.api.grpc:proto-google-common-protos,2.29.0,java,https://github.com/googleapis/sdk-platform-java,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.google.api.grpc:proto-google-common-protos:2.29.0) (normalized)
com.google.api:api-common,2.26.0,java,https://github.com/googleapis/sdk-platform-java,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,pom(com.google.api:api-common:2.26.0) (normalized)
com.google.auto.value:auto-value-annotations,1.10.4,java,https://github.com/google/auto,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.google.auto.value:auto-value-parent:1.10.4) (normalized)
com.google.code.findbugs:jsr305,3.0.2,java,UNKNOWN,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.google.code.findbugs:jsr305:3.0.2) (normalized)
com.google.code.gson:gson,2.10.1,java,https://github.com/google/gson/,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.google.code.gson:gson:2.10.1) (normalized)
com.google.errorprone:error_prone_annotations,2.23.0,java,https://github.com/google/error-prone,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.google.errorprone:error_prone_annotations:2.23.0) (normalized)
com.google.guava:failureaccess,1.0.1,java,https://github.com/google/guava,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.google.guava:guava-parent:26.0-android) (normalized)
com.google.guava:guava,32.1.3-android,java,https://github.com/google/guava,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.google.guava:guava-parent:32.1.3-android) (normalized)
com.google.guava:listenablefuture,9999.0-empty-to-avoid-conflict-with-guava,java,https://github.com/google/guava,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.google.guava:guava-parent:26.0-android) (normalized)
com.google.j2objc:j2objc-annotations,2.8,java,UNKNOWN,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.google.j2objc:j2objc-annotations:2.8) (normalized)
