name,version,language,repository,license,license-url,license-source
cloud.google.com/go,v0.110.10,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go,v0.26.0,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go,v0.34.0,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go,v0.38.0,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go,v0.44.1,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go,v0.44.2,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go,v0.45.1,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go,v0.46.3,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/bigquery,v1.0.1,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/compute,v1.23.3,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/compute/metadata,v0.2.3,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/datastore,v1.0.0,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/firestore,v1.1.0,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/iam,v1.1.5,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/pubsub,v1.0.1,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/storage,v1.0.0,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/storage,v1.35.1,go,unknown,Unknown,Unknown,Unknown
dmitri.shuralyov.com/gpu/mtl,v0.0.0-20190408044501-666a987793e9,go,unknown,Unknown,Unknown,Unknown
github.com/BurntSushi/toml,v0.3.1,go,https://github.com/BurntSushi/toml,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/BurntSushi/toml (normalized)
github.com/BurntSushi/xgb,v0.0.0-20160522181843-27f122750802,go,https://github.com/BurntSushi/xgb,Other,Unknown,https://api.github.com/repos/BurntSushi/xgb
github.com/OneOfOne/xxhash,v1.2.2,go,https://github.com/OneOfOne/xxhash,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/OneOfOne/xxhash (normalized)
github.com/VividCortex/gohistogram,v1.0.0,go,https://github.com/VividCortex/gohistogram,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/VividCortex/gohistogram (normalized)
github.com/alecthomas/template,v0.0.0-20160405071501-a0175ee3bccc,go,https://github.com/alecthomas/template,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://api.github.com/repos/alecthomas/template (normalized)
github.com/alecthomas/units,v0.0.0-20151022065526-2efee857e7cf,go,https://github.com/alecthomas/units,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/alecthomas/units (normalized)
github.com/armon/circbuf,v0.0.0-20150827004946-bbbad097214e,go,https://github.com/armon/circbuf,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/armon/circbuf (normalized)
