name,version,repository,license,license-url,license-source
bitbucket.org/liamstask/goose,v0.0.0-20150115234039-8488cc47d90c,unknown,Unknown,Unknown,Unknown
cloud.google.com/go,v0.34.0,unknown,Unknown,Unknown,Unknown
cloud.google.com/go,v0.99.0,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/firestore,v1.6.1,unknown,Unknown,Unknown,Unknown
code.cloudfoundry.org/clock,v1.0.0,unknown,Unknown,Unknown,Unknown
dario.cat/mergo,v1.0.0,unknown,Unknown,Unknown,Unknown
github.com/AdaLogics/go-fuzz-headers,v0.0.0-20230811130428-ced1acdcaa24,https://github.com/AdaLogics/go-fuzz-headers,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/AdaLogics/go-fuzz-headers (normalized)
github.com/AdamKorcz/go-118-fuzz-build,v0.0.0-20230306123547-8075edf89bb0,https://github.com/AdamKorcz/go-118-fuzz-build,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/AdamKorcz/go-118-fuzz-build (normalized)
github.com/Azure/go-ansiterm,v0.0.0-20170929234023-d6e3b3328b78,https://github.com/Azure/go-ansiterm,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/Azure/go-ansiterm (normalized)
github.com/Azure/go-ansiterm,v0.0.0-20210617225240-d185dfc1b5a1,https://github.com/Azure/go-ansiterm,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/Azure/go-ansiterm (normalized)
github.com/BurntSushi/toml,v0.3.1,https://github.com/BurntSushi/toml,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/BurntSushi/toml (normalized)
github.com/BurntSushi/toml,v1.2.1,https://github.com/BurntSushi/toml,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/BurntSushi/toml (normalized)
github.com/GeertJohan/go.incremental,v1.0.0,https://github.com/GeertJohan/go.incremental,BSD-2-Clause,https://api.github.com/licenses/bsd-2-clause,https://api.github.com/repos/GeertJohan/go.incremental (normalized)
github.com/GeertJohan/go.rice,v1.0.0,https://github.com/GeertJohan/go.rice,BSD-2-Clause,https://api.github.com/licenses/bsd-2-clause,https://api.github.com/repos/GeertJohan/go.rice (normalized)
github.com/IBM/idemix,v0.0.0-20220112103229-701e7610d405,https://github.com/IBM/idemix,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/IBM/idemix (normalized)
github.com/IBM/idemix,v0.0.2-0.20231107110441-534ea4193b8f,https://github.com/IBM/idemix,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/IBM/idemix (normalized)
github.com/IBM/idemix/bccsp/schemes/aries,v0.0.0-20231107110234-4cf31dd43660,https://github.com/IBM/idemix/bccsp/schemes/aries,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/IBM/idemix (normalized)
github.com/IBM/idemix/bccsp/schemes/weak-bb,v0.0.0-20231003085036-c4470b87b2d6,https://github.com/IBM/idemix/bccsp/schemes/weak-bb,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/IBM/idemix (normalized)
github.com/IBM/idemix/bccsp/schemes/weak-bb,v0.0.0-20231107110234-4cf31dd43660,https://github.com/IBM/idemix/bccsp/schemes/weak-bb,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/IBM/idemix (normalized)
github.com/IBM/idemix/bccsp/types,v0.0.0-20231003085036-c4470b87b2d6,https://github.com/IBM/idemix/bccsp/types,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/IBM/idemix (normalized)
github.com/IBM/idemix/bccsp/types,v0.0.0-20231107110234-4cf31dd43660,https://github.com/IBM/idemix/bccsp/types,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/IBM/idemix (normalized)
github.com/IBM/mathlib,v0.0.0-20220112091634-0a7378db6912,https://github.com/IBM/mathlib,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/IBM/mathlib (normalized)
github.com/IBM/mathlib,v0.0.3-0.20231011094432-44ee0eb539da,https://github.com/IBM/mathlib,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/IBM/mathlib (normalized)
github.com/Knetic/govaluate,v3.0.0+incompatible,https://github.com/Knetic/govaluate,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/Knetic/govaluate (normalized)
github.com/Knetic/govaluate,v3.0.1-0.20171022003610-9aa49832a739+incompatible,https://github.com/Knetic/govaluate,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/Knetic/govaluate (normalized)
github.com/Microsoft/go-winio,v0.4.14,https://github.com/Microsoft/go-winio,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/Microsoft/go-winio (normalized)
github.com/Microsoft/go-winio,v0.5.2,https://github.com/Microsoft/go-winio,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/Microsoft/go-winio (normalized)
github.com/Microsoft/go-winio,v0.6.1,https://github.com/Microsoft/go-winio,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/Microsoft/go-winio (normalized)
github.com/Microsoft/hcsshim,v0.11.4,https://github.com/Microsoft/hcsshim,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/Microsoft/hcsshim (normalized)
github.com/Microsoft/hcsshim,v0.8.25,https://github.com/Microsoft/hcsshim,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/Microsoft/hcsshim (normalized)
github.com/Shopify/sarama,v1.19.0,https://github.com/Shopify/sarama,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/Shopify/sarama (normalized)
github.com/Shopify/toxiproxy,v2.1.4+incompatible,https://github.com/Shopify/toxiproxy,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/Shopify/toxiproxy (normalized)
github.com/SmartBFT-Go/consensus,v0.0.0-20230212211744-e5a79afcea81,https://github.com/SmartBFT-Go/consensus,Unknown,Unknown,Unknown
