name,version,repository,license,license-url,license-source
cloud.google.com/go/compute,v1.24.0,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/compute/metadata,v0.2.3,unknown,Unknown,Unknown,Unknown
github.com/census-instrumentation/opencensus-proto,v0.4.1,https://github.com/census-instrumentation/opencensus-proto,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/census-instrumentation/opencensus-proto (normalized)
github.com/cespare/xxhash/v2,v2.2.0,https://github.com/cespare/xxhash/v2,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/cespare/xxhash (normalized)
github.com/cncf/xds/go,v0.0.0-20231128003011-0fa0005c9caa,https://github.com/cncf/xds/go,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/cncf/xds (normalized)
github.com/envoyproxy/go-control-plane,v0.12.0,https://github.com/envoyproxy/go-control-plane,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/envoyproxy/go-control-plane (normalized)
github.com/envoyproxy/protoc-gen-validate,v1.0.4,https://github.com/envoyproxy/protoc-gen-validate,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/envoyproxy/protoc-gen-validate (normalized)
github.com/golang/glog,v1.2.0,https://github.com/golang/glog,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/golang/glog (normalized)
github.com/golang/protobuf,v1.5.0,https://github.com/golang/protobuf,BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,https://api.github.com/repos/golang/protobuf (normalized)
github.com/golang/protobuf,v1.5.4,https://github.com/golang/protobuf,BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,https://api.github.com/repos/golang/protobuf (normalized)
github.com/google/go-cmp,v0.5.5,https://github.com/google/go-cmp,BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,https://api.github.com/repos/google/go-cmp (normalized)
github.com/google/go-cmp,v0.5.9,https://github.com/google/go-cmp,BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,https://api.github.com/repos/google/go-cmp (normalized)
github.com/google/go-cmp,v0.6.0,https://github.com/google/go-cmp,BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,https://api.github.com/repos/google/go-cmp (normalized)
github.com/google/uuid,v1.6.0,https://github.com/google/uuid,BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,https://api.github.com/repos/google/uuid (normalized)
go,1.17,unknown,Unknown,Unknown,Unknown
golang.org/x/crypto,v0.22.0,unknown,Unknown,Unknown,Unknown
golang.org/x/mod,v0.8.0,unknown,Unknown,Unknown,Unknown
golang.org/x/net,v0.21.0,unknown,Unknown,Unknown,Unknown
golang.org/x/net,v0.24.0,unknown,Unknown,Unknown,Unknown
golang.org/x/oauth2,v0.17.0,unknown,Unknown,Unknown,Unknown
golang.org/x/sync,v0.6.0,unknown,Unknown,Unknown,Unknown
golang.org/x/sys,v0.17.0,unknown,Unknown,Unknown,Unknown
golang.org/x/sys,v0.19.0,unknown,Unknown,Unknown,Unknown
golang.org/x/sys,v0.5.0,unknown,Unknown,Unknown,Unknown
golang.org/x/term,v0.19.0,unknown,Unknown,Unknown,Unknown
golang.org/x/text,v0.14.0,unknown,Unknown,Unknown,Unknown
golang.org/x/tools,v0.6.0,unknown,Unknown,Unknown,Unknown
golang.org/x/xerrors,v0.0.0-20191204190536-9bdfabe68543,unknown,Unknown,Unknown,Unknown
google.golang.org/appengine,v1.6.8,unknown,Unknown,Unknown,Unknown
google.golang.org/genproto,v0.0.0-20240227224415-6ceb2ff114de,unknown,Unknown,Unknown,Unknown
google.golang.org/genproto/googleapis/api,v0.0.0-20240227224415-6ceb2ff114de,unknown,Unknown,Unknown,Unknown
google.golang.org/genproto/googleapis/rpc,v0.0.0-20240227224415-6ceb2ff114de,unknown,Unknown,Unknown,Unknown
google.golang.org/genproto/googleapis/rpc,v0.0.0-20240401170217-c3f982113cda,unknown,Unknown,Unknown,Unknown
google.golang.org/grpc,v1.63.2,unknown,Unknown,Unknown,Unknown
google.golang.org/protobuf,v1.33.0,unknown,Unknown,Unknown,Unknown
