name,version,language,repository,license,license-url,license-source
bitbucket.org/liamstask/goose,v0.0.0-20150115234039-8488cc47d90c,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go,v0.26.0,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go,v0.34.0,go,unknown,Unknown,Unknown,Unknown
github.com/BurntSushi/toml,v0.3.1,go,https://github.com/BurntSushi/toml,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/BurntSushi/toml (normalized)
github.com/GeertJohan/go.incremental,v1.0.0,go,https://github.com/GeertJohan/go.incremental,BSD-2-Clause,https://spdx.org/licenses/BSD-2-Clause.html,https://api.github.com/repos/GeertJohan/go.incremental (normalized)
github.com/GeertJohan/go.rice,v1.0.0,go,https://github.com/GeertJohan/go.rice,BSD-2-Clause,https://spdx.org/licenses/BSD-2-Clause.html,https://api.github.com/repos/GeertJohan/go.rice (normalized)
github.com/Knetic/govaluate,v3.0.0+incompatible,go,https://github.com/Knetic/govaluate,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/Knetic/govaluate (normalized)
github.com/Knetic/govaluate,v3.0.1-0.20171022003610-9aa49832a739+incompatible,go,https://github.com/Knetic/govaluate,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/Knetic/govaluate (normalized)
github.com/Shopify/sarama,v1.19.0,go,https://github.com/Shopify/sarama,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/Shopify/sarama (normalized)
github.com/Shopify/toxiproxy,v2.1.4+incompatible,go,https://github.com/Shopify/toxiproxy,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/Shopify/toxiproxy (normalized)
github.com/VividCortex/gohistogram,v1.0.0,go,https://github.com/VividCortex/gohistogram,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/VividCortex/gohistogram (normalized)
github.com/afex/hystrix-go,v0.0.0-20180502004556-fa1af6a1f4f5,go,https://github.com/afex/hystrix-go,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/afex/hystrix-go (normalized)
github.com/akavel/rsrc,v0.8.0,go,https://github.com/akavel/rsrc,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/akavel/rsrc (normalized)
github.com/alecthomas/template,v0.0.0-20160405071501-a0175ee3bccc,go,https://github.com/alecthomas/template,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://api.github.com/repos/alecthomas/template (normalized)
github.com/alecthomas/template,v0.0.0-20190718012654-fb15b899a751,go,https://github.com/alecthomas/template,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://api.github.com/repos/alecthomas/template (normalized)
github.com/alecthomas/units,v0.0.0-20151022065526-2efee857e7cf,go,https://github.com/alecthomas/units,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/alecthomas/units (normalized)
github.com/alecthomas/units,v0.0.0-20190717042225-c3de453c63f4,go,https://github.com/alecthomas/units,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/alecthomas/units (normalized)
github.com/apache/thrift,v0.12.0,go,https://github.com/apache/thrift,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/apache/thrift (normalized)
github.com/apache/thrift,v0.13.0,go,https://github.com/apache/thrift,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/apache/thrift (normalized)
github.com/armon/circbuf,v0.0.0-20150827004946-bbbad097214e,go,https://github.com/armon/circbuf,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/armon/circbuf (normalized)
