name,version,repository,license,license-url,license-source
cloud.google.com/go,v0.110.10,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/compute,v1.23.3,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/compute/metadata,v0.2.3,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/firestore,v1.14.0,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/iam,v1.1.5,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/longrunning,v0.5.4,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/spanner,v1.51.0,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/storage,v1.30.1,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/storage,v1.35.1,unknown,Unknown,Unknown,Unknown
github.com/99designs/go-keychain,v0.0.0-20191008050251-8e49817e8af4,https://github.com/99designs/go-keychain,Unknown,Unknown,Unknown
github.com/99designs/keyring,v1.2.1,https://github.com/99designs/keyring,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/99designs/keyring (normalized)
github.com/Azure/azure-sdk-for-go/sdk/azcore,v1.4.0,https://github.com/Azure/azure-sdk-for-go/sdk/azcore,Unknown,Unknown,Unknown
github.com/Azure/azure-sdk-for-go/sdk/internal,v1.1.2,https://github.com/Azure/azure-sdk-for-go/sdk/internal,Unknown,Unknown,Unknown
github.com/Azure/azure-sdk-for-go/sdk/storage/azblob,v1.0.0,https://github.com/Azure/azure-sdk-for-go/sdk/storage/azblob,Unknown,Unknown,Unknown
github.com/Azure/go-ansiterm,v0.0.0-20230124172434-306776ec8161,https://github.com/Azure/go-ansiterm,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/Azure/go-ansiterm (normalized)
github.com/Azure/go-autorest,v14.2.0+incompatible,https://github.com/Azure/go-autorest,Unknown,Unknown,Unknown
github.com/Azure/go-autorest/autorest/adal,v0.9.16,https://github.com/Azure/go-autorest/autorest/adal,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/Azure/go-autorest (normalized)
github.com/Azure/go-autorest/autorest/date,v0.3.0,https://github.com/Azure/go-autorest/autorest/date,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/Azure/go-autorest (normalized)
github.com/Azure/go-autorest/logger,v0.2.1,https://github.com/Azure/go-autorest/logger,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/Azure/go-autorest (normalized)
github.com/Azure/go-autorest/tracing,v0.6.0,https://github.com/Azure/go-autorest/tracing,Unknown,Unknown,Unknown
github.com/ClickHouse/clickhouse-go,v1.4.3,https://github.com/ClickHouse/clickhouse-go,Unknown,Unknown,Unknown
