name,version,language,repository,license,license-url,license-source
blockwatch.cc/tzgo,v1.17.1,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go,v0.110.10,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/compute,v1.23.3,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/compute/metadata,v0.2.3,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/firestore,v1.14.0,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/iam,v1.1.5,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/longrunning,v0.5.4,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/storage,v1.35.1,go,unknown,Unknown,Unknown,Unknown
github.com/DATA-DOG/go-sqlmock,v1.5.2,go,https://github.com/DATA-DOG/go-sqlmock,Other,Unknown,https://api.github.com/repos/DATA-DOG/go-sqlmock
github.com/Masterminds/squirrel,v1.5.4,go,https://github.com/Masterminds/squirrel,Other,Unknown,https://api.github.com/repos/Masterminds/squirrel
github.com/aidarkhanov/nanoid,v1.0.8,go,https://github.com/aidarkhanov/nanoid,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/aidarkhanov/nanoid (normalized)
github.com/alecthomas/kingpin/v2,v2.3.2,go,https://github.com/alecthomas/kingpin/v2,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/alecthomas/kingpin (normalized)
github.com/alecthomas/units,v0.0.0-20211218093645-b94a6e3cc137,go,https://github.com/alecthomas/units,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/alecthomas/units (normalized)
github.com/armon/go-metrics,v0.4.1,go,https://github.com/armon/go-metrics,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/armon/go-metrics (normalized)
github.com/aybabtme/rgbterm,v0.0.0-20170906152045-cc83f3b3ce59,go,https://github.com/aybabtme/rgbterm,Other,Unknown,https://api.github.com/repos/aybabtme/rgbterm
github.com/beorn7/perks,v1.0.1,go,https://github.com/beorn7/perks,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/beorn7/perks (normalized)
github.com/blang/semver/v4,v4.0.0,go,https://github.com/blang/semver/v4,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/blang/semver (normalized)
github.com/cespare/xxhash/v2,v2.1.1,go,https://github.com/cespare/xxhash/v2,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/cespare/xxhash (normalized)
github.com/cespare/xxhash/v2,v2.2.0,go,https://github.com/cespare/xxhash/v2,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/cespare/xxhash (normalized)
github.com/coreos/go-semver,v0.3.0,go,https://github.com/coreos/go-semver,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/coreos/go-semver (normalized)
github.com/coreos/go-systemd/v22,v22.3.2,go,https://github.com/coreos/go-systemd/v22,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/coreos/go-systemd (normalized)
github.com/cpuguy83/go-md2man/v2,v2.0.3,go,https://github.com/cpuguy83/go-md2man/v2,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/cpuguy83/go-md2man (normalized)
github.com/davecgh/go-spew,v1.1.0,go,https://github.com/davecgh/go-spew,ISC,https://spdx.org/licenses/ISC.html,https://api.github.com/repos/davecgh/go-spew (normalized)
github.com/davecgh/go-spew,v1.1.1,go,https://github.com/davecgh/go-spew,ISC,https://spdx.org/licenses/ISC.html,https://api.github.com/repos/davecgh/go-spew (normalized)
github.com/davecgh/go-spew,v1.1.2-0.20180830191138-d8f796af33cc,go,https://github.com/davecgh/go-spew,ISC,https://spdx.org/licenses/ISC.html,https://api.github.com/repos/davecgh/go-spew (normalized)
github.com/decred/dcrd/dcrec/secp256k1/v4,v4.2.0,go,https://github.com/decred/dcrd/dcrec/secp256k1/v4,ISC,https://spdx.org/licenses/ISC.html,https://api.github.com/repos/decred/dcrd (normalized)
github.com/docker/go-units,v0.5.0,go,https://github.com/docker/go-units,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/docker/go-units (normalized)
github.com/echa/log,v1.2.4,go,https://github.com/echa/log,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/echa/log (normalized)
github.com/fatih/color,v1.14.1,go,https://github.com/fatih/color,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/fatih/color (normalized)
github.com/fatih/color,v1.15.0,go,https://github.com/fatih/color,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/fatih/color (normalized)
github.com/frankban/quicktest,v1.14.6,go,https://github.com/frankban/quicktest,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/frankban/quicktest (normalized)
github.com/fsnotify/fsnotify,v1.4.9,go,https://github.com/fsnotify/fsnotify,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://api.github.com/repos/fsnotify/fsnotify (normalized)
github.com/fsnotify/fsnotify,v1.7.0,go,https://github.com/fsnotify/fsnotify,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://api.github.com/repos/fsnotify/fsnotify (normalized)
github.com/getkin/kin-openapi,v0.122.0,go,https://github.com/getkin/kin-openapi,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/getkin/kin-openapi (normalized)
github.com/ghodss/yaml,v1.0.0,go,https://github.com/ghodss/yaml,Other,Unknown,https://api.github.com/repos/ghodss/yaml
github.com/go-kit/log,v0.2.1,go,https://github.com/go-kit/log,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/go-kit/log (normalized)
github.com/go-logfmt/logfmt,v0.5.1,go,https://github.com/go-logfmt/logfmt,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/go-logfmt/logfmt (normalized)
github.com/go-openapi/jsonpointer,v0.19.6,go,https://github.com/go-openapi/jsonpointer,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/go-openapi/jsonpointer (normalized)
github.com/go-openapi/jsonpointer,v0.20.2,go,https://github.com/go-openapi/jsonpointer,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/go-openapi/jsonpointer (normalized)
github.com/go-openapi/swag,v0.22.4,go,https://github.com/go-openapi/swag,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/go-openapi/swag (normalized)
github.com/go-openapi/swag,v0.22.5,go,https://github.com/go-openapi/swag,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/go-openapi/swag (normalized)
github.com/go-openapi/swag,v0.22.7,go,https://github.com/go-openapi/swag,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/go-openapi/swag (normalized)
github.com/go-resty/resty/v2,v2.11.0,go,https://github.com/go-resty/resty/v2,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/go-resty/resty (normalized)
github.com/go-test/deep,v1.0.8,go,https://github.com/go-test/deep,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/go-test/deep (normalized)
github.com/gogo/protobuf,v1.3.2,go,https://github.com/gogo/protobuf,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://github.com/gogo/protobuf/blob/master/LICENSE (normalized)
github.com/golang-migrate/migrate/v4,v4.17.0,go,https://github.com/golang-migrate/migrate/v4,Other,Unknown,https://api.github.com/repos/golang-migrate/migrate
github.com/golang/groupcache,v0.0.0-20210331224755-41bb18bfe9da,go,https://github.com/golang/groupcache,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/golang/groupcache (normalized)
github.com/golang/protobuf,v1.4.3,go,https://github.com/golang/protobuf,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://api.github.com/repos/golang/protobuf (normalized)
github.com/golang/protobuf,v1.5.0,go,https://github.com/golang/protobuf,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://api.github.com/repos/golang/protobuf (normalized)
github.com/golang/protobuf,v1.5.3,go,https://github.com/golang/protobuf,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://api.github.com/repos/golang/protobuf (normalized)
github.com/google/go-cmp,v0.5.5,go,https://github.com/google/go-cmp,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://api.github.com/repos/google/go-cmp (normalized)
github.com/google/go-cmp,v0.5.8,go,https://github.com/google/go-cmp,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://api.github.com/repos/google/go-cmp (normalized)
github.com/google/go-cmp,v0.5.9,go,https://github.com/google/go-cmp,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://api.github.com/repos/google/go-cmp (normalized)
github.com/google/s2a-go,v0.1.7,go,https://github.com/google/s2a-go,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/google/s2a-go (normalized)
github.com/google/uuid,v1.4.0,go,https://github.com/google/uuid,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://api.github.com/repos/google/uuid (normalized)
github.com/google/uuid,v1.5.0,go,https://github.com/google/uuid,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://api.github.com/repos/google/uuid (normalized)
github.com/googleapis/enterprise-certificate-proxy,v0.3.2,go,https://github.com/googleapis/enterprise-certificate-proxy,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/googleapis/enterprise-certificate-proxy (normalized)
github.com/googleapis/gax-go/v2,v2.12.0,go,https://github.com/googleapis/gax-go/v2,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://api.github.com/repos/googleapis/gax-go (normalized)
github.com/googleapis/google-cloud-go-testing,v0.0.0-20210719221736-1c9a4c676720,go,https://github.com/googleapis/google-cloud-go-testing,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/googleapis/google-cloud-go-testing (normalized)
github.com/gorilla/mux,v1.8.0,go,https://github.com/gorilla/mux,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,https://api.github.com/repos/gorilla/mux (normalized)
