name,version,language,repository,license,license-url,license-source
cloud.google.com/go,v0.110.10,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/compute,v1.23.3,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/compute/metadata,v0.2.3,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/firestore,v1.14.0,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/iam,v1.1.5,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/longrunning,v0.5.4,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/spanner,v1.51.0,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/storage,v1.30.1,go,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/storage,v1.35.1,go,unknown,Unknown,Unknown,Unknown
github.com/99designs/go-keychain,v0.0.0-20191008050251-8e49817e8af4,go,https://github.com/99designs/go-keychain,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/99designs/go-keychain (normalized)
github.com/99designs/keyring,v1.2.1,go,https://github.com/99designs/keyring,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/99designs/keyring (normalized)
github.com/Azure/azure-sdk-for-go/sdk/azcore,v1.4.0,go,https://github.com/Azure/azure-sdk-for-go/sdk/azcore,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/Azure/azure-sdk-for-go (normalized)
github.com/Azure/azure-sdk-for-go/sdk/internal,v1.1.2,go,https://github.com/Azure/azure-sdk-for-go/sdk/internal,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/Azure/azure-sdk-for-go (normalized)
github.com/Azure/azure-sdk-for-go/sdk/storage/azblob,v1.0.0,go,https://github.com/Azure/azure-sdk-for-go/sdk/storage/azblob,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/Azure/azure-sdk-for-go (normalized)
github.com/Azure/go-ansiterm,v0.0.0-20230124172434-306776ec8161,go,https://github.com/Azure/go-ansiterm,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/Azure/go-ansiterm (normalized)
github.com/Azure/go-autorest,v14.2.0+incompatible,go,https://github.com/Azure/go-autorest,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/Azure/go-autorest (normalized)
github.com/Azure/go-autorest/autorest/adal,v0.9.16,go,https://github.com/Azure/go-autorest/autorest/adal,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/Azure/go-autorest (normalized)
github.com/Azure/go-autorest/autorest/date,v0.3.0,go,https://github.com/Azure/go-autorest/autorest/date,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/Azure/go-autorest (normalized)
github.com/Azure/go-autorest/logger,v0.2.1,go,https://github.com/Azure/go-autorest/logger,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/Azure/go-autorest (normalized)
github.com/Azure/go-autorest/tracing,v0.6.0,go,https://github.com/Azure/go-autorest/tracing,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/Azure/go-autorest (normalized)
github.com/ClickHouse/clickhouse-go,v1.4.3,go,https://github.com/ClickHouse/clickhouse-go,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/ClickHouse/clickhouse-go (normalized)
github.com/DATA-DOG/go-sqlmock,v1.5.2,go,https://github.com/DATA-DOG/go-sqlmock,Other,Unknown,https://api.github.com/repos/DATA-DOG/go-sqlmock
github.com/FactomProject/basen,v0.0.0-20150613233007-fe3947df716e,go,https://github.com/FactomProject/basen,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/FactomProject/basen (normalized)
github.com/FactomProject/btcutilecc,v0.0.0-20130527213604-d3a63a5752ec,go,https://github.com/FactomProject/btcutilecc,Unknown,Unknown,Unknown
github.com/Masterminds/goutils,v1.1.1,go,https://github.com/Masterminds/goutils,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/Masterminds/goutils (normalized)
github.com/Masterminds/semver/v3,v3.2.0,go,https://github.com/Masterminds/semver/v3,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/Masterminds/semver (normalized)
github.com/Masterminds/semver/v3,v3.2.1,go,https://github.com/Masterminds/semver/v3,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/Masterminds/semver (normalized)
github.com/Masterminds/sprig/v3,v3.2.3,go,https://github.com/Masterminds/sprig/v3,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/Masterminds/sprig (normalized)
github.com/Masterminds/squirrel,v1.5.4,go,https://github.com/Masterminds/squirrel,Other,Unknown,https://api.github.com/repos/Masterminds/squirrel
github.com/Microsoft/go-winio,v0.6.1,go,https://github.com/Microsoft/go-winio,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/Microsoft/go-winio (normalized)
github.com/aidarkhanov/nanoid,v1.0.8,go,https://github.com/aidarkhanov/nanoid,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/aidarkhanov/nanoid (normalized)
github.com/alecthomas/kingpin/v2,v2.3.2,go,https://github.com/alecthomas/kingpin/v2,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/alecthomas/kingpin (normalized)
github.com/alecthomas/units,v0.0.0-20211218093645-b94a6e3cc137,go,https://github.com/alecthomas/units,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/alecthomas/units (normalized)
github.com/andybalholm/brotli,v1.0.4,go,https://github.com/andybalholm/brotli,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/andybalholm/brotli (normalized)
github.com/apache/arrow/go/v10,v10.0.1,go,https://github.com/apache/arrow/go/v10,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/apache/arrow (normalized)
github.com/apache/thrift,v0.16.0,go,https://github.com/apache/thrift,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/apache/thrift (normalized)
github.com/armon/go-metrics,v0.4.1,go,https://github.com/armon/go-metrics,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/armon/go-metrics (normalized)
github.com/aws/aws-sdk-go,v1.49.6,go,https://github.com/aws/aws-sdk-go,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/aws/aws-sdk-go (normalized)
github.com/aws/aws-sdk-go-v2,v1.16.16,go,https://github.com/aws/aws-sdk-go-v2,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/aws/aws-sdk-go-v2 (normalized)
github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream,v1.4.8,go,https://github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/aws/aws-sdk-go-v2 (normalized)
github.com/aws/aws-sdk-go-v2/credentials,v1.12.20,go,https://github.com/aws/aws-sdk-go-v2/credentials,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/aws/aws-sdk-go-v2 (normalized)
github.com/aws/aws-sdk-go-v2/feature/s3/manager,v1.11.33,go,https://github.com/aws/aws-sdk-go-v2/feature/s3/manager,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/aws/aws-sdk-go-v2 (normalized)
github.com/aws/aws-sdk-go-v2/internal/configsources,v1.1.23,go,https://github.com/aws/aws-sdk-go-v2/internal/configsources,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/aws/aws-sdk-go-v2 (normalized)
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2,v2.4.17,go,https://github.com/aws/aws-sdk-go-v2/internal/endpoints/v2,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/aws/aws-sdk-go-v2 (normalized)
