name,version,language,repository,license,license-url,license-source
@nestjs/axios,3.0.2,js,https://github.com/nestjs/axios,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@nestjs/common,10.3.3,js,https://github.com/nestjs/nest,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@nestjs/config,3.2.0,js,https://github.com/nestjs/config,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@nestjs/core,10.4.3,js,https://github.com/nestjs/nest,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@nestjs/platform-express,10.4.3,js,https://github.com/nestjs/nest,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@nestjs/platform-ws,10.3.3,js,https://github.com/nestjs/nest,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@nestjs/swagger,7.4.2,js,https://github.com/nestjs/swagger,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@nestjs/terminus,10.2.2,js,https://github.com/nestjs/terminus,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@nestjs/websockets,10.3.3,js,https://github.com/nestjs/nest,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
axios,1.7.4,js,https://github.com/axios/axios,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
class-transformer,0.5.1,js,https://github.com/typestack/class-transformer,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
class-validator,0.14.1,js,https://github.com/typestack/class-validator,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
lru-cache,7.18.3,js,https://github.com/isaacs/node-lru-cache,ISC,https://spdx.org/licenses/ISC.html,npm show (normalized)
nanoid,3.3.7,js,https://github.com/ai/nanoid,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
reflect-metadata,0.2.1,js,https://github.com/rbuckton/reflect-metadata,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,npm show (normalized)
rxjs,7.8.1,js,https://github.com/reactivex/rxjs,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,npm show (normalized)
swagger-ui-express,5.0.0,js,https://github.com/scottie1984/swagger-ui-express,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
uuid,9.0.1,js,https://github.com/uuidjs/uuid,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
