name,version,language,repository,license,license-url,license-source
@emotion/react,11.9.0,js,https://github.com/emotion-js/emotion/tree/main/packages/react,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@emotion/styled,11.8.1,js,https://github.com/emotion-js/emotion/tree/main/packages/styled,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@mui/icons-material,5.6.2,js,https://github.com/mui/material-ui,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@mui/lab,5.0.0-alpha.78,js,https://github.com/mui/material-ui,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@mui/material,5.6.2,js,https://github.com/mui/material-ui,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@mui/styles,5.6.2,js,https://github.com/mui/material-ui,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@nivo/bar,0.79.1,js,https://github.com/plouc/nivo,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@nivo/core,0.79.0,js,https://github.com/plouc/nivo,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@nivo/network,0.79.1,js,https://github.com/plouc/nivo,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@types/dagre,0.7.47,js,https://github.com/DefinitelyTyped/DefinitelyTyped,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
dagre,0.8.5,js,https://github.com/dagrejs/dagre,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
dayjs,1.11.1,js,https://github.com/iamkun/dayjs,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
i18next,21.6.16,js,https://github.com/i18next/i18next,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
lossless-json,4.0.2,js,https://github.com/josdejong/lossless-json,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
pretty-bytes,6.0.0,js,https://github.com/sindresorhus/pretty-bytes,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
react,17.0.2,js,https://github.com/facebook/react,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
react-copy-to-clipboard,5.1.0,js,https://github.com/nkbt/react-copy-to-clipboard,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
react-dom,17.0.2,js,https://github.com/facebook/react,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
react-flow-renderer,10.1.1,js,https://github.com/wbkd/react-flow,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
react-i18next,11.16.6,js,https://github.com/i18next/react-i18next,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
react-infinite-scroll-component,6.1.0,js,https://github.com/ankeetmaini/react-infinite-scroll-component,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
react-jazzicon,1.0.3,js,https://github.com/marcusmolchany/react-jazzicon,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
react-json-view,1.21.3,js,https://github.com/mac-s-g/react-json-view,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
react-query,3.35.0,js,https://github.com/tannerlinsley/react-query,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
react-router-dom,6.3.0,js,https://github.com/remix-run/react-router,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
react-scripts,5.0.1,js,https://github.com/facebook/create-react-app,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
reconnecting-websocket,4.4.0,js,https://github.com/pladaria/reconnecting-websocket,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
typescript,4.6.3,js,https://github.com/Microsoft/TypeScript,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,npm show (normalized)
