name,version,repository,license,license-url,license-source
blockwatch.cc/tzgo,v1.17.1,unknown,Unknown,Unknown,Unknown
cloud.google.com/go,v0.110.10,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/compute,v1.23.3,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/compute/metadata,v0.2.3,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/firestore,v1.14.0,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/iam,v1.1.5,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/longrunning,v0.5.4,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/spanner,v1.51.0,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/storage,v1.30.1,unknown,Unknown,Unknown,Unknown
cloud.google.com/go/storage,v1.35.1,unknown,Unknown,Unknown,Unknown
github.com/99designs/go-keychain,v0.0.0-20191008050251-8e49817e8af4,https://github.com/99designs/go-keychain,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/99designs/go-keychain (normalized)
github.com/99designs/keyring,v1.2.1,https://github.com/99designs/keyring,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/99designs/keyring (normalized)
github.com/Azure/azure-sdk-for-go/sdk/azcore,v1.4.0,https://github.com/Azure/azure-sdk-for-go/sdk/azcore,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/Azure/azure-sdk-for-go (normalized)
github.com/Azure/azure-sdk-for-go/sdk/internal,v1.1.2,https://github.com/Azure/azure-sdk-for-go/sdk/internal,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/Azure/azure-sdk-for-go (normalized)
github.com/Azure/azure-sdk-for-go/sdk/storage/azblob,v1.0.0,https://github.com/Azure/azure-sdk-for-go/sdk/storage/azblob,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/Azure/azure-sdk-for-go (normalized)
github.com/Azure/go-ansiterm,v0.0.0-20230124172434-306776ec8161,https://github.com/Azure/go-ansiterm,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/Azure/go-ansiterm (normalized)
github.com/Azure/go-autorest,v14.2.0+incompatible,https://github.com/Azure/go-autorest,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/Azure/go-autorest (normalized)
github.com/Azure/go-autorest/autorest/adal,v0.9.16,https://github.com/Azure/go-autorest/autorest/adal,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/Azure/go-autorest (normalized)
github.com/Azure/go-autorest/autorest/date,v0.3.0,https://github.com/Azure/go-autorest/autorest/date,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/Azure/go-autorest (normalized)
github.com/Azure/go-autorest/logger,v0.2.1,https://github.com/Azure/go-autorest/logger,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/Azure/go-autorest (normalized)
github.com/Azure/go-autorest/tracing,v0.6.0,https://github.com/Azure/go-autorest/tracing,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/Azure/go-autorest (normalized)
github.com/BurntSushi/toml,v0.3.1,https://github.com/BurntSushi/toml,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/BurntSushi/toml (normalized)
github.com/ClickHouse/clickhouse-go,v1.4.3,https://github.com/ClickHouse/clickhouse-go,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/ClickHouse/clickhouse-go (normalized)
github.com/DATA-DOG/go-sqlmock,v1.5.2,https://github.com/DATA-DOG/go-sqlmock,Other,Unknown,https://api.github.com/repos/DATA-DOG/go-sqlmock
github.com/Masterminds/squirrel,v1.5.4,https://github.com/Masterminds/squirrel,Other,Unknown,https://api.github.com/repos/Masterminds/squirrel
github.com/Microsoft/go-winio,v0.6.1,https://github.com/Microsoft/go-winio,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/Microsoft/go-winio (normalized)
github.com/aidarkhanov/nanoid,v1.0.8,https://github.com/aidarkhanov/nanoid,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/aidarkhanov/nanoid (normalized)
github.com/alecthomas/kingpin/v2,v2.3.2,https://github.com/alecthomas/kingpin/v2,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/alecthomas/kingpin (normalized)
github.com/alecthomas/units,v0.0.0-20211218093645-b94a6e3cc137,https://github.com/alecthomas/units,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/alecthomas/units (normalized)
github.com/andybalholm/brotli,v1.0.4,https://github.com/andybalholm/brotli,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/andybalholm/brotli (normalized)
github.com/apache/arrow/go/v10,v10.0.1,https://github.com/apache/arrow/go/v10,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/apache/arrow (normalized)
github.com/apache/thrift,v0.16.0,https://github.com/apache/thrift,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/apache/thrift (normalized)
github.com/armon/consul-api,v0.0.0-20180202201655-eb2c6b5be1b6,https://github.com/armon/consul-api,MPL-2.0,https://api.github.com/licenses/mpl-2.0,https://api.github.com/repos/armon/consul-api (normalized)
github.com/armon/go-metrics,v0.4.1,https://github.com/armon/go-metrics,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/armon/go-metrics (normalized)
github.com/aws/aws-sdk-go,v1.49.6,https://github.com/aws/aws-sdk-go,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/aws/aws-sdk-go (normalized)
github.com/aws/aws-sdk-go-v2,v1.16.16,https://github.com/aws/aws-sdk-go-v2,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/aws/aws-sdk-go-v2 (normalized)
github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream,v1.4.8,https://github.com/aws/aws-sdk-go-v2/aws/protocol/eventstream,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/aws/aws-sdk-go-v2 (normalized)
github.com/aws/aws-sdk-go-v2/credentials,v1.12.20,https://github.com/aws/aws-sdk-go-v2/credentials,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/aws/aws-sdk-go-v2 (normalized)
github.com/aws/aws-sdk-go-v2/feature/s3/manager,v1.11.33,https://github.com/aws/aws-sdk-go-v2/feature/s3/manager,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/aws/aws-sdk-go-v2 (normalized)
github.com/aws/aws-sdk-go-v2/internal/configsources,v1.1.23,https://github.com/aws/aws-sdk-go-v2/internal/configsources,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/aws/aws-sdk-go-v2 (normalized)
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2,v2.4.17,https://github.com/aws/aws-sdk-go-v2/internal/endpoints/v2,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/aws/aws-sdk-go-v2 (normalized)
github.com/aws/aws-sdk-go-v2/internal/v4a,v1.0.14,https://github.com/aws/aws-sdk-go-v2/internal/v4a,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/aws/aws-sdk-go-v2 (normalized)
github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding,v1.9.9,https://github.com/aws/aws-sdk-go-v2/service/internal/accept-encoding,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/aws/aws-sdk-go-v2 (normalized)
github.com/aws/aws-sdk-go-v2/service/internal/checksum,v1.1.18,https://github.com/aws/aws-sdk-go-v2/service/internal/checksum,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/aws/aws-sdk-go-v2 (normalized)
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url,v1.9.17,https://github.com/aws/aws-sdk-go-v2/service/internal/presigned-url,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/aws/aws-sdk-go-v2 (normalized)
github.com/aws/aws-sdk-go-v2/service/internal/s3shared,v1.13.17,https://github.com/aws/aws-sdk-go-v2/service/internal/s3shared,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/aws/aws-sdk-go-v2 (normalized)
github.com/aws/aws-sdk-go-v2/service/s3,v1.27.11,https://github.com/aws/aws-sdk-go-v2/service/s3,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/aws/aws-sdk-go-v2 (normalized)
github.com/aws/smithy-go,v1.13.3,https://github.com/aws/smithy-go,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/aws/smithy-go (normalized)
github.com/aybabtme/rgbterm,v0.0.0-20170906152045-cc83f3b3ce59,https://github.com/aybabtme/rgbterm,Other,Unknown,https://api.github.com/repos/aybabtme/rgbterm
github.com/beorn7/perks,v1.0.1,https://github.com/beorn7/perks,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/beorn7/perks (normalized)
github.com/blang/semver/v4,v4.0.0,https://github.com/blang/semver/v4,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/blang/semver (normalized)
github.com/btcsuite/btcd/btcec/v2,v2.3.2,https://github.com/btcsuite/btcd/btcec/v2,ISC,https://api.github.com/licenses/isc,https://api.github.com/repos/btcsuite/btcd (normalized)
github.com/cenkalti/backoff/v4,v4.1.2,https://github.com/cenkalti/backoff/v4,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/cenkalti/backoff (normalized)
github.com/census-instrumentation/opencensus-proto,v0.4.1,https://github.com/census-instrumentation/opencensus-proto,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/census-instrumentation/opencensus-proto (normalized)
github.com/cespare/xxhash/v2,v2.1.1,https://github.com/cespare/xxhash/v2,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/cespare/xxhash (normalized)
github.com/cespare/xxhash/v2,v2.2.0,https://github.com/cespare/xxhash/v2,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/cespare/xxhash (normalized)
github.com/cloudflare/golz4,v0.0.0-20150217214814-ef862a3cdc58,https://github.com/cloudflare/golz4,BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,https://api.github.com/repos/cloudflare/golz4 (normalized)
github.com/cncf/udpa/go,v0.0.0-20220112060539-c52dc94e7fbe,https://github.com/cncf/udpa/go,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/cncf/udpa (normalized)
github.com/cncf/xds/go,v0.0.0-20231109132714-523115ebc101,https://github.com/cncf/xds/go,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/cncf/xds (normalized)
github.com/cockroachdb/cockroach-go/v2,v2.1.1,https://github.com/cockroachdb/cockroach-go/v2,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/cockroachdb/cockroach-go (normalized)
github.com/coreos/etcd,v3.3.10+incompatible,https://github.com/coreos/etcd,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/coreos/etcd (normalized)
github.com/coreos/go-etcd,v2.0.0+incompatible,https://github.com/coreos/go-etcd,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/coreos/go-etcd (normalized)
github.com/coreos/go-semver,v0.2.0,https://github.com/coreos/go-semver,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/coreos/go-semver (normalized)
github.com/coreos/go-semver,v0.3.0,https://github.com/coreos/go-semver,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/coreos/go-semver (normalized)
github.com/coreos/go-systemd/v22,v22.3.2,https://github.com/coreos/go-systemd/v22,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/coreos/go-systemd (normalized)
github.com/cpuguy83/go-md2man,v1.0.10,https://github.com/cpuguy83/go-md2man,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/cpuguy83/go-md2man (normalized)
github.com/cpuguy83/go-md2man/v2,v2.0.3,https://github.com/cpuguy83/go-md2man/v2,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/cpuguy83/go-md2man (normalized)
github.com/creack/pty,v1.1.9,https://github.com/creack/pty,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/creack/pty (normalized)
github.com/cucumber/gherkin-go/v19,v19.0.3,https://github.com/cucumber/gherkin-go/v19,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/cucumber/gherkin-go (normalized)
github.com/cucumber/godog,v0.12.6,https://github.com/cucumber/godog,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/cucumber/godog (normalized)
github.com/cucumber/messages-go/v16,v16.0.1,https://github.com/cucumber/messages-go/v16,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/cucumber/messages-go (normalized)
github.com/cznic/mathutil,v0.0.0-20180504122225-ca4c9f2c1369,https://github.com/cznic/mathutil,BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,https://api.github.com/repos/cznic/mathutil (normalized)
github.com/danieljoos/wincred,v1.1.2,https://github.com/danieljoos/wincred,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/danieljoos/wincred (normalized)
github.com/davecgh/go-spew,v1.1.0,https://github.com/davecgh/go-spew,ISC,https://api.github.com/licenses/isc,https://api.github.com/repos/davecgh/go-spew (normalized)
github.com/davecgh/go-spew,v1.1.1,https://github.com/davecgh/go-spew,ISC,https://api.github.com/licenses/isc,https://api.github.com/repos/davecgh/go-spew (normalized)
github.com/davecgh/go-spew,v1.1.2-0.20180830191138-d8f796af33cc,https://github.com/davecgh/go-spew,ISC,https://api.github.com/licenses/isc,https://api.github.com/repos/davecgh/go-spew (normalized)
github.com/decred/dcrd/crypto/blake256,v1.0.1,https://github.com/decred/dcrd/crypto/blake256,ISC,https://api.github.com/licenses/isc,https://api.github.com/repos/decred/dcrd (normalized)
github.com/decred/dcrd/dcrec/secp256k1/v4,v4.2.0,https://github.com/decred/dcrd/dcrec/secp256k1/v4,ISC,https://api.github.com/licenses/isc,https://api.github.com/repos/decred/dcrd (normalized)
github.com/dhui/dktest,v0.4.0,https://github.com/dhui/dktest,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/dhui/dktest (normalized)
github.com/docker/distribution,v2.8.2+incompatible,https://github.com/docker/distribution,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/docker/distribution (normalized)
github.com/docker/docker,v24.0.7+incompatible,https://github.com/docker/docker,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/docker/docker (normalized)
github.com/docker/go-connections,v0.4.0,https://github.com/docker/go-connections,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/docker/go-connections (normalized)
github.com/docker/go-units,v0.5.0,https://github.com/docker/go-units,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/docker/go-units (normalized)
github.com/dvsekhvalnov/jose2go,v1.5.0,https://github.com/dvsekhvalnov/jose2go,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/dvsekhvalnov/jose2go (normalized)
github.com/echa/bson,v0.0.0-20220430141917-c0fbdf7f8b79,https://github.com/echa/bson,Other,Unknown,https://api.github.com/repos/echa/bson
github.com/echa/log,v1.2.4,https://github.com/echa/log,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/echa/log (normalized)
github.com/edsrzf/mmap-go,v0.0.0-20170320065105-0bce6a688712,https://github.com/edsrzf/mmap-go,BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,https://api.github.com/repos/edsrzf/mmap-go (normalized)
github.com/envoyproxy/go-control-plane,v0.11.1,https://github.com/envoyproxy/go-control-plane,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/envoyproxy/go-control-plane (normalized)
github.com/envoyproxy/protoc-gen-validate,v1.0.2,https://github.com/envoyproxy/protoc-gen-validate,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/envoyproxy/protoc-gen-validate (normalized)
github.com/fatih/color,v1.14.1,https://github.com/fatih/color,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/fatih/color (normalized)
github.com/fatih/color,v1.15.0,https://github.com/fatih/color,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/fatih/color (normalized)
github.com/form3tech-oss/jwt-go,v3.2.5+incompatible,https://github.com/form3tech-oss/jwt-go,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/form3tech-oss/jwt-go (normalized)
github.com/frankban/quicktest,v1.14.6,https://github.com/frankban/quicktest,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/frankban/quicktest (normalized)
github.com/fsnotify/fsnotify,v1.4.7,https://github.com/fsnotify/fsnotify,BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,https://api.github.com/repos/fsnotify/fsnotify (normalized)
github.com/fsnotify/fsnotify,v1.7.0,https://github.com/fsnotify/fsnotify,BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,https://api.github.com/repos/fsnotify/fsnotify (normalized)
