name,version,repository,license,license-url,license-source
AnoncredsSwift,0.4.1,https://github.com/input-output-hk/anoncreds-rs,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/input-output-hk/anoncreds-rs (normalized)
ApolloLibrary,1.4.2,https://github.com/hyperledger/identus-apollo,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/hyperledger/identus-apollo (normalized)
Chronometer,0.1.12,https://github.com/KittyMac/Chronometer,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/KittyMac/Chronometer (normalized)
CryptoSwift,1.8.3,https://github.com/krzyzanowskim/CryptoSwift,Other,Unknown,https://api.github.com/repos/krzyzanowskim/CryptoSwift
Gzip,6.0.0,https://github.com/1024jp/GzipSwift,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/1024jp/GzipSwift (normalized)
Hitch,0.4.148,https://github.com/KittyMac/Hitch,Unknown,Unknown,Unknown
JSONSchema,0.6.0,https://github.com/kylef/JSONSchema.swift,BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,https://api.github.com/repos/kylef/JSONSchema.swift (normalized)
OpenID4VCI,unspecified,https://github.com/goncalo-frade-iohk/eudi-lib-ios-openid4vci-swift,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/goncalo-frade-iohk/eudi-lib-ios-openid4vci-swift (normalized)
PathKit,1.0.1,https://github.com/kylef/PathKit,BSD-2-Clause,https://api.github.com/licenses/bsd-2-clause,https://api.github.com/repos/kylef/PathKit (normalized)
Sextant,0.4.31,https://github.com/KittyMac/Sextant,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/KittyMac/Sextant (normalized)
Spanker,0.2.49,https://github.com/KittyMac/Spanker,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/KittyMac/Spanker (normalized)
Spectre,0.10.1,https://github.com/kylef/Spectre,BSD-2-Clause,https://api.github.com/licenses/bsd-2-clause,https://api.github.com/repos/kylef/Spectre (normalized)
SwiftProtobuf,1.28.2,https://github.com/apple/swift-protobuf,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/apple/swift-protobuf (normalized)
SwiftyJSON,5.0.2,https://github.com/SwiftyJSON/SwiftyJSON,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/SwiftyJSON/SwiftyJSON (normalized)
didcomm-swift,0.1.12,https://github.com/beatt83/didcomm-swift,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/beatt83/didcomm-swift (normalized)
didcore-swift,2.0.2,https://github.com/beatt83/didcore-swift,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/beatt83/didcore-swift (normalized)
eudi-lib-sdjwt-swift,0.1.1,https://github.com/eu-digital-identity-wallet/eudi-lib-sdjwt-swift,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/eu-digital-identity-wallet/eudi-lib-sdjwt-swift (normalized)
jose-swift,3.3.1,https://github.com/beatt83/jose-swift,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/beatt83/jose-swift (normalized)
peerdid-swift,3.0.3,https://github.com/beatt83/peerdid-swift,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/beatt83/peerdid-swift (normalized)
secp256k1.swift,0.15.0,https://github.com/GigaBitcoin/secp256k1.swift,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/GigaBitcoin/secp256k1.swift (normalized)
swift-bases,0.0.3,https://github.com/swift-libp2p/swift-bases,MIT,https://api.github.com/licenses/mit,https://api.github.com/repos/swift-libp2p/swift-bases (normalized)
swift-log,1.6.1,https://github.com/apple/swift-log,Apache-2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/apple/swift-log (normalized)
swift-multibase,0.0.2,https://github.com/swift-libp2p/swift-multibase,Unknown,Unknown,Unknown
