name,version,repository,license,license-url,license-source
com.github.spotbugs:spotbugs-annotations,4.7.3,https://github.com/spotbugs/spotbugs/,LGPL-2.1,https://api.github.com/licenses/lgpl-2.1,pom(com.github.spotbugs:spotbugs-annotations:4.7.3) (normalized)
com.goterl:lazysodium-java,5.1.1,https://github.com/terl/lazysodium-java,MPL-2.0,https://api.github.com/licenses/mpl-2.0,pom(com.goterl:lazysodium-java:5.1.1) (normalized)
net.i2p.crypto:eddsa,0.3.0,https://github.com/str4d/ed25519-java,CC0-1.0,https://api.github.com/licenses/cc0-1.0,pom(net.i2p.crypto:eddsa:0.3.0) (normalized)
net.java.dev.jna:jna,5.14.0,https://github.com/java-native-access/jna,Unknown,Unknown,-
org.bouncycastle:bcpkix-jdk18on,1.78,https://github.com/bcgit/bc-java,Bouncy Castle Licence,https://www.bouncycastle.org/licence.html,pom(org.bouncycastle:bcpkix-jdk18on:1.78)
org.bouncycastle:bcprov-jdk18on,1.78,https://github.com/bcgit/bc-java,Bouncy Castle Licence,https://www.bouncycastle.org/licence.html,pom(org.bouncycastle:bcprov-jdk18on:1.78)
org.bouncycastle:bcutil-jdk18on,1.78,https://github.com/bcgit/bc-java,Bouncy Castle Licence,https://www.bouncycastle.org/licence.html,pom(org.bouncycastle:bcutil-jdk18on:1.78)
org.checkerframework:checker-qual,3.41.0,https://github.com/typetools/checker-framework,Unknown,Unknown,-
org.connid:framework,1.3.2,UNKNOWN,CDDL 1.0,http://www.sun.com/cddl/cddl.html,pom(org.connid:connid:1.3.2)
org.connid:framework-internal,1.3.2,UNKNOWN,CDDL 1.0,http://www.sun.com/cddl/cddl.html,pom(org.connid:connid:1.3.2)
tech.pegasys:jc-kzg-4844,0.8.0,UNKNOWN,Unknown,Unknown,-
