name,version,language,repository,license,license-url,license-source
@ipld/car,5.3.3,js,https://github.com/ipld/js-car,Apache-2.0 OR MIT,UNKNOWN,npm show
@ipld/dag-cbor,9.2.2,js,https://github.com/ipld/js-dag-cbor,Apache-2.0 OR MIT,UNKNOWN,npm show
@ipld/dag-json,10.2.3,js,https://github.com/ipld/js-dag-json,Apache-2.0 OR MIT,UNKNOWN,npm show
@ipld/dag-pb,4.1.3,js,https://github.com/ipld/js-dag-pb,Apache-2.0 OR MIT,UNKNOWN,npm show
@ipld/dag-ucan,3.4.0,js,https://github.com/ipld/js-dag-ucan,(Apache-2.0 AND MIT),UNKNOWN,npm show
@ipld/unixfs,2.2.0,js,https://github.com/ipld/js-unixfs,Apache-2.0 OR MIT,UNKNOWN,npm show
@multiformats/murmur3,2.1.8,js,https://github.com/multiformats/js-murmur3,Apache-2.0 OR MIT,UNKNOWN,npm show
@perma/map,1.0.3,js,https://github.com/gozala/perma-map,(Apache-2.0 AND MIT),UNKNOWN,npm show
@ucanto/client,9.0.1,js,https://github.com/web3-storage/ucanto,(Apache-2.0 AND MIT),UNKNOWN,npm show
@ucanto/core,10.0.1,js,https://github.com/web3-storage/ucanto,(Apache-2.0 AND MIT),UNKNOWN,npm show
@ucanto/interface,10.0.1,js,https://github.com/web3-storage/ucanto,(Apache-2.0 AND MIT),UNKNOWN,npm show
@ucanto/principal,9.0.1,js,https://github.com/web3-storage/ucanto,(Apache-2.0 AND MIT),UNKNOWN,npm show
@ucanto/transport,9.1.1,js,https://github.com/web3-storage/ucanto,(Apache-2.0 AND MIT),UNKNOWN,npm show
@ucanto/validator,9.0.2,js,https://github.com/web3-storage/ucanto,(Apache-2.0 AND MIT),UNKNOWN,npm show
@web3-storage/access,20.1.1,js,https://github.com/storacha/w3up,(Apache-2.0 OR MIT),UNKNOWN,npm show
@web3-storage/blob-index,1.0.4,js,https://github.com/w3s-project/w3up,Apache-2.0 OR MIT,UNKNOWN,npm show
@web3-storage/capabilities,17.4.1,js,https://github.com/storacha/w3up,(Apache-2.0 OR MIT),UNKNOWN,npm show
@web3-storage/capabilities,18.0.0,js,https://github.com/storacha/w3up,(Apache-2.0 OR MIT),UNKNOWN,npm show
@web3-storage/data-segment,5.3.0,js,https://github.com/web3-storage/data-segment,(Apache-2.0 AND MIT),UNKNOWN,npm show
@web3-storage/did-mailto,2.1.0,js,https://github.com/web3-storage/w3up,(Apache-2.0 OR MIT),UNKNOWN,npm show
@web3-storage/filecoin-client,3.3.5,js,https://github.com/storacha/w3up,Apache-2.0 OR MIT,UNKNOWN,npm show
@web3-storage/upload-client,17.1.2,js,https://github.com/storacha/w3up,Apache-2.0 OR MIT,UNKNOWN,npm show
@web3-storage/w3up-client,16.5.2,js,https://github.com/storacha/w3up,Apache-2.0 OR MIT,UNKNOWN,npm show
actor,2.3.1,js,https://github.com/gozala/actor,(Apache-2.0 AND MIT),UNKNOWN,npm show
argparse,2.0.1,js,https://github.com/nodeca/argparse,Python-2.0,UNKNOWN,npm show
atomically,2.0.3,js,https://github.com/fabiospampinato/atomically,Unknown,Unknown,Unknown
busboy,1.6.0,js,https://github.com/mscdex/busboy,Unknown,Unknown,Unknown
carstream,2.3.0,js,https://github.com/alanshaw/carstream,Apache-2.0 OR MIT,UNKNOWN,npm show
ipfs-utils,9.0.14,js,https://github.com/ipfs/js-ipfs-utils,Apache-2.0 OR MIT,UNKNOWN,npm show
multiformats,11.0.2,js,https://github.com/multiformats/js-multiformats,Apache-2.0 OR MIT,UNKNOWN,npm show
multiformats,12.1.3,js,https://github.com/multiformats/js-multiformats,Apache-2.0 OR MIT,UNKNOWN,npm show
multiformats,13.3.1,js,https://github.com/multiformats/js-multiformats,Apache-2.0 OR MIT,UNKNOWN,npm show
node-forge,1.3.1,js,https://github.com/digitalbazaar/forge,(BSD-3-Clause OR GPL-2.0),UNKNOWN,npm show
rabin-rs,2.1.0,js,https://github.com/gozala/rabin-wasm,(Apache-2.0 AND MIT),UNKNOWN,npm show
seq-queue,0.0.5,js,https://github.com/changchang/seq-queue,Unknown,Unknown,Unknown
spark-md5,3.0.2,js,https://github.com/satazor/js-spark-md5,(WTFPL OR MIT),UNKNOWN,npm show
streamsearch,1.1.0,js,https://github.com/mscdex/streamsearch,Unknown,Unknown,Unknown
stubborn-fs,1.2.5,js,https://github.com/fabiospampinato/stubborn-fs,Unknown,Unknown,Unknown
sync-multihash-sha2,1.0.0,js,https://github.com/gozala/sync-multihash-sha2,(Apache-2.0 AND MIT),UNKNOWN,npm show
tslib,2.8.1,js,https://github.com/Microsoft/tslib,0BSD,UNKNOWN,npm show
type-fest,2.19.0,js,https://github.com/sindresorhus/type-fest,(MIT OR CC0-1.0),UNKNOWN,npm show
type-fest,4.30.2,js,https://github.com/sindresorhus/type-fest,(MIT OR CC0-1.0),UNKNOWN,npm show
uint8arraylist,2.4.8,js,https://github.com/achingbrain/uint8arraylist,Apache-2.0 OR MIT,UNKNOWN,npm show
uint8arrays,4.0.10,js,https://github.com/achingbrain/uint8arrays,Apache-2.0 OR MIT,UNKNOWN,npm show
uint8arrays,5.1.0,js,https://github.com/achingbrain/uint8arrays,Apache-2.0 OR MIT,UNKNOWN,npm show
when-exit,2.1.3,js,https://github.com/fabiospampinato/when-exit,Unknown,Unknown,Unknown
