name,version,repository,license,license-url,license-source
aopalliance:aopalliance,1.0,UNKNOWN,Unknown,Unknown,Not on page
com.github.spotbugs:spotbugs-annotations,4.8.3,https://github.com/spotbugs/spotbugs/,LGPL-2.1,https://spdx.org/licenses/LGPL-2.1.html,pom(com.github.spotbugs:spotbugs-annotations:4.8.3) (normalized)
com.thoughtworks.xstream:xstream,1.4.20,https://github.com/x-stream/xstream,BSD-Style,https://github.com/x-stream/xstream?tab=License-1-ov-file#readme,https://github.com/x-stream/xstream?tab=License-1-ov-file#readme
io.github.x-stream:mxparser,1.2.2,https://github.com/x-stream/mxparser,"Indiana University Extreme! Lab Software License, Version 1.2",https://github.com/x-stream/mxparser/blob/master/LICENSE.txt,https://github.com/x-stream/mxparser/blob/master/LICENSE.txt
jakarta.activation:jakarta.activation-api,2.1.3,https://github.com/jakartaee/jaf-api,EDL 1.0,http://www.eclipse.org/org/documents/edl-v10.php,pom(jakarta.activation:jakarta.activation-api:2.1.3)
jakarta.xml.bind:jakarta.xml.bind-api,4.0.2,https://github.com/jakartaee/jaxb-api,Eclipse Distribution License - v 1.0,http://www.eclipse.org/org/documents/edl-v10.php,pom(jakarta.xml.bind:jakarta.xml.bind-api-parent:4.0.2)
javax.annotation:javax.annotation-api,1.3.2,https://github.com/javaee/javax.annotation,CCDL 1.1,Unknown,https://github.com/javaee/javax.annotation/blob/master/LICENSE
org.bouncycastle:bcpkix-jdk15to18,1.76,https://github.com/bcgit/bc-java,Bouncy Castle Licence,http://www.bouncycastle.org/licence.html,pom(org.bouncycastle:bcpkix-jdk15to18:1.76)
org.bouncycastle:bcprov-jdk15to18,1.76,https://github.com/bcgit/bc-java,Bouncy Castle Licence,http://www.bouncycastle.org/licence.html,pom(org.bouncycastle:bcprov-jdk15to18:1.76)
org.bouncycastle:bcutil-jdk15to18,1.76,https://github.com/bcgit/bc-java,Bouncy Castle Licence,http://www.bouncycastle.org/licence.html,pom(org.bouncycastle:bcutil-jdk15to18:1.76)
org.graalvm.sdk:nativeimage,23.1.2,https://github.com/oracle/graal,GPL 2.0 with the Classpath Exception,Unknown,https://github.com/oracle/graal/blob/master/LICENSE
org.graalvm.sdk:word,23.1.2,https://github.com/oracle/graal,GPL 2.0 with the Classpath Exception,Unknown,https://github.com/oracle/graal/blob/master/LICENSE
xmlpull:xmlpull,1.1.3.1,UNKNOWN,Public Domain,http://www.xmlpull.org/v1/download/unpacked/LICENSE.txt,pom(xmlpull:xmlpull:1.1.3.1)
