name,version,language,repository,license,license-url,license-source
argparse,2.0.1,js,https://github.com/nodeca/argparse,Python-2.0,UNKNOWN,npm show
jackspeak,4.0.2,js,https://github.com/isaacs/jackspeak,BlueOak-1.0.0,UNKNOWN,npm show
node-forge,1.3.1,js,https://github.com/digitalbazaar/forge,(BSD-3-Clause OR GPL-2.0),UNKNOWN,npm show
package-json-from-dist,1.0.1,js,https://github.com/isaacs/package-json-from-dist,BlueOak-1.0.0,UNKNOWN,npm show
path-scurry,2.0.0,js,https://github.com/isaacs/path-scurry,BlueOak-1.0.0,UNKNOWN,npm show
spark-md5,3.0.2,js,https://github.com/satazor/js-spark-md5,(WTFPL OR MIT),UNKNOWN,npm show
ssh2,1.16.0,js,https://github.com/mscdex/ssh2,Unknown,Unknown,Unknown
string-width-cjs,4.2.3,js,UNKNOWN,Unknown,Unknown,Unknown
strip-ansi-cjs,6.0.1,js,UNKNOWN,Unknown,Unknown,Unknown
tslib,2.7.0,js,https://github.com/Microsoft/tslib,0BSD,UNKNOWN,npm show
tslib,2.8.1,js,https://github.com/Microsoft/tslib,0BSD,UNKNOWN,npm show
wrap-ansi-cjs,7.0.0,js,UNKNOWN,Unknown,Unknown,Unknown
