name,version,language,repository,license,license-url,license-source
github.com/ethereum/go-ethereum,v1.13.15,go,https://github.com/ethereum/go-ethereum,LGPL-3.0,https://spdx.org/licenses/LGPL-3.0.html,https://api.github.com/repos/ethereum/go-ethereum (normalized)
github.com/karalabe/usb,v0.0.2,go,https://github.com/karalabe/usb,LGPL-3.0,https://spdx.org/licenses/LGPL-3.0.html,https://api.github.com/repos/karalabe/usb (normalized)
github.com/klauspost/compress,v1.15.15,go,https://github.com/klauspost/compress,Multiple licenses,https://github.com/klauspost/compress?tab=License-1-ov-file#readme,https://github.com/klauspost/compress?tab=License-1-ov-file#readme
github.com/klauspost/compress,v1.16.0,go,https://github.com/klauspost/compress,Multiple licenses,https://github.com/klauspost/compress?tab=License-1-ov-file#readme,https://github.com/klauspost/compress?tab=License-1-ov-file#readme
gopkg.in/yaml.v2,v2.2.2,go,unknown,MIT and Apache License 2.0 (CHECKED BY HENDRIK),https://github.com/go-yaml/yaml/blob/v3/LICENSE,https://github.com/go-yaml/yaml/blob/v3/LICENSE
gopkg.in/yaml.v2,v2.2.4,go,unknown,MIT and Apache License 2.0 (CHECKED BY HENDRIK),https://github.com/go-yaml/yaml/blob/v3/LICENSE,https://github.com/go-yaml/yaml/blob/v3/LICENSE
gopkg.in/yaml.v2,v2.3.0,go,unknown,MIT and Apache License 2.0 (CHECKED BY HENDRIK),https://github.com/go-yaml/yaml/blob/v3/LICENSE,https://github.com/go-yaml/yaml/blob/v3/LICENSE
gopkg.in/yaml.v2,v2.4.0,go,unknown,MIT and Apache License 2.0 (CHECKED BY HENDRIK),https://github.com/go-yaml/yaml/blob/v3/LICENSE,https://github.com/go-yaml/yaml/blob/v3/LICENSE
gopkg.in/yaml.v3,v3.0.1,go,unknown,MIT and Apache License 2.0 (CHECKED BY HENDRIK),https://github.com/go-yaml/yaml/blob/v3/LICENSE,https://github.com/go-yaml/yaml/blob/v3/LICENSE
toolchain,go1.21,go,unknown,Unknown,Unknown,Unknown
