name,version,language,repository,license,license-url,license-source
anstyle-query,v1.1.1,rust,https://github.com/rust-cli/anstyle,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/anstyle-query
async-trait,v0.1.81,rust,https://github.com/dtolnay/async-trait,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/async-trait
atomic-waker,v1.1.2,rust,https://github.com/smol-rs/atomic-waker,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/atomic-waker
autocfg,v1.3.0,rust,https://github.com/cuviper/autocfg,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/autocfg
backoff,v0.4.0,rust,https://github.com/ihrwein/backoff,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/backoff
base64,v0.21.7,rust,https://github.com/marshallpierce/rust-base64,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/base64
base64,v0.22.1,rust,https://github.com/marshallpierce/rust-base64,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/base64
bitflags,v1.3.2,rust,https://github.com/bitflags/bitflags,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/bitflags
bitflags,v2.6.0,rust,https://github.com/bitflags/bitflags,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/bitflags
byteorder,v1.5.0,rust,https://github.com/BurntSushi/byteorder,Unlicense OR MIT,UNKNOWN,https://crates.io/api/v1/crates/byteorder
cc,v1.1.8,rust,https://github.com/rust-lang/cc-rs,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/cc
cfg-if,v1.0.0,rust,https://github.com/alexcrichton/cfg-if,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/cfg-if
clap,v4.5.14,rust,https://github.com/clap-rs/clap,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/clap
clap_builder,v4.5.14,rust,https://github.com/clap-rs/clap,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/clap_builder
clap_derive,v4.5.13,rust,https://github.com/clap-rs/clap,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/clap_derive
clap_lex,v0.7.2,rust,https://github.com/clap-rs/clap,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/clap_lex
colorchoice,v1.0.2,rust,https://github.com/rust-cli/anstyle,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/colorchoice
crypto-bigint,v0.5.5,rust,https://github.com/RustCrypto/crypto-bigint,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/crypto-bigint
deranged,v0.3.11,rust,https://github.com/jhpratt/deranged,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/deranged
displaydoc,v0.2.5,rust,https://github.com/yaahc/displaydoc,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/displaydoc
either,v1.13.0,rust,https://github.com/rayon-rs/either,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/either
env_filter,v0.1.2,rust,https://github.com/rust-cli/env_logger,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/env_filter
env_logger,v0.11.5,rust,https://github.com/rust-cli/env_logger,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/env_logger
equivalent,v1.0.1,rust,https://github.com/cuviper/equivalent,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/equivalent
errno,v0.3.9,rust,https://github.com/lambda-fairy/rust-errno,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/errno
expect-test,v1.5.0,rust,https://github.com/rust-analyzer/expect-test,MIT OR Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/expect-test
fastrand,v2.1.0,rust,https://github.com/smol-rs/fastrand,Apache-2.0 OR MIT,UNKNOWN,https://crates.io/api/v1/crates/fastrand
ff,v0.13.0,rust,https://github.com/zkcrypto/ff,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/ff
fixedbitset,v0.4.2,rust,https://github.com/petgraph/fixedbitset,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/fixedbitset
fnv,v1.0.7,rust,https://github.com/servo/rust-fnv,Apache-2.0 / MIT,UNKNOWN,https://crates.io/api/v1/crates/fnv
fraction,v0.15.3,rust,https://github.com/dnsl48/fraction.git,MIT/Apache-2.0,UNKNOWN,https://crates.io/api/v1/crates/fraction
