name,version,language,repository,license,license-url,license-source
com.esaulpaugh:headlong,6.1.1,java,https://github.com/esaulpaugh/headlong,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.esaulpaugh:headlong:6.1.1) (normalized)
com.fasterxml.jackson.core:jackson-annotations,2.16.0,java,https://github.com/FasterXML/jackson-annotations,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.fasterxml.jackson.core:jackson-annotations:2.16.0) (normalized)
com.fasterxml.jackson.core:jackson-core,2.16.0,java,https://github.com/FasterXML/jackson-core,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.fasterxml.jackson.core:jackson-core:2.16.0) (normalized)
com.fasterxml.jackson.core:jackson-databind,2.16.0,java,https://github.com/FasterXML/jackson-databind,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.fasterxml.jackson.core:jackson-databind:2.16.0) (normalized)
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,2.16.0,java,https://github.com/FasterXML/jackson-dataformats-text,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.fasterxml.jackson.dataformat:jackson-dataformats-text:2.16.0) (normalized)
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,2.16.0,java,https://github.com/FasterXML/jackson-modules-java8,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.fasterxml.jackson:jackson-base:2.16.0) (normalized)
com.github.ben-manes.caffeine:caffeine,3.1.8,java,https://github.com/ben-manes/caffeine,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.github.ben-manes.caffeine:caffeine:3.1.8) (normalized)
com.github.spotbugs:spotbugs-annotations,4.7.3,java,https://github.com/spotbugs/spotbugs/,LGPL-2.1,https://spdx.org/licenses/LGPL-2.1.html,pom(com.github.spotbugs:spotbugs-annotations:4.7.3) (normalized)
com.google.android:annotations,4.1.1.4,java,UNKNOWN,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.google.android:annotations:4.1.1.4) (normalized)
com.google.api.grpc:proto-google-common-protos,2.29.0,java,https://github.com/googleapis/sdk-platform-java,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.google.api.grpc:proto-google-common-protos:2.29.0) (normalized)
com.google.auto.service:auto-service-annotations,1.1.1,java,https://github.com/google/auto,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.google.auto.service:auto-service-aggregator:1.1.1) (normalized)
com.google.code.findbugs:jsr305,3.0.2,java,UNKNOWN,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.google.code.findbugs:jsr305:3.0.2) (normalized)
com.google.code.gson:gson,2.9.0,java,https://github.com/google/gson/,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.google.code.gson:gson:2.9.0) (normalized)
com.google.dagger:dagger,2.42,java,https://github.com/google/dagger/,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,pom(com.google.dagger:dagger:2.42) (normalized)
