name,version,language,repository,license,license-url,license-source
@hashgraph/sdk,2.50.0,js,https://github.com/hashgraph/hedera-sdk-js,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,npm show (normalized)
@nestjs/common,10.3.0,js,https://github.com/nestjs/nest,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@nestjs/config,3.1.1,js,https://github.com/nestjs/config,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@nestjs/core,10.3.0,js,https://github.com/nestjs/nest,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@nestjs/jwt,10.2.0,js,https://github.com/nestjs/jwt,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@nestjs/mapped-types,2.0.4,js,https://github.com/nestjs/mapped-types,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@nestjs/platform-express,10.3.8,js,https://github.com/nestjs/nest,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@nestjs/swagger,7.2.0,js,https://github.com/nestjs/swagger,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@nestjs/typeorm,10.0.2,js,https://github.com/nestjs/typeorm,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@web3-storage/w3up-client,16.0.0,js,https://github.com/w3s-project/w3up,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://github.com/storacha/w3up?tab=License-1-ov-file#readme (normalized)
class-transformer,0.5.1,js,https://github.com/typestack/class-transformer,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
class-validator,0.14.1,js,https://github.com/typestack/class-validator,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
mysql2,3.10.0,js,https://github.com/sidorares/node-mysql2,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
nestjs-pino,4.1.0,js,https://github.com/iamolegga/nestjs-pino,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
pino,9.1.0,js,https://github.com/pinojs/pino,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
pino-http,10.1.0,js,https://github.com/pinojs/pino-http,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
reflect-metadata,0.1.14,js,https://github.com/rbuckton/reflect-metadata,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,npm show (normalized)
rxjs,7.8.1,js,https://github.com/reactivex/rxjs,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,npm show (normalized)
typeorm,0.3.20,js,https://github.com/typeorm/typeorm,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
zod,3.23.8,js,https://github.com/colinhacks/zod,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
