name,version,language,repository,license,license-url,license-source
@bladelabs/blade-web3.js,1.2.2,js,https://github.com/Blade-Labs/blade-web3.js,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,npm show (normalized)
@ethereum-sourcify/bytecode-utils,1.2.12,js,https://github.com/ethereum/sourcify,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@fortawesome/fontawesome-svg-core,6.6.0,js,https://github.com/FortAwesome/Font-Awesome,MIT,https://spdx.org/licenses/MIT.html,https://github.com/FortAwesome/Font-Awesome?tab=License-1-ov-file#readme (normalized)
@fortawesome/free-brands-svg-icons,6.6.0,js,https://github.com/FortAwesome/Font-Awesome,CC BY 4.0 License AND SIL OFL 1.1 License AND MIT License, -, https://github.com/FortAwesome/Font-Awesome?tab=readme-ov-file#license
@fortawesome/free-solid-svg-icons,6.6.0,js,https://github.com/FortAwesome/Font-Awesome,CC BY 4.0 License AND SIL OFL 1.1 License AND MIT License, -, https://github.com/FortAwesome/Font-Awesome?tab=readme-ov-file#license
@fortawesome/vue-fontawesome,3.0.8,js,https://github.com/FortAwesome/vue-fontawesome,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@hashgraph/proto,2.15.0,js,https://github.com/hashgraph/hedera-sdk-js,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,npm show (normalized)
@hashgraph/sdk,2.52.0,js,https://github.com/hashgraph/hedera-sdk-js,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,npm show (normalized)
@hedera-name-service/hns-resolution-sdk,2.0.11,js,https://github.com/hedera-name-service/hns-resolution-sdk,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@kabuto-sh/ns,0.14.2,js,,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://www.npmjs.com/package/@kabuto-sh/ns (normalized)
@oruga-ui/oruga-next,0.7.0,js,https://github.com/oruga-ui/oruga,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@vuepic/vue-datepicker,9.0.3,js,https://github.com/Vuepic/vue-datepicker,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
axios,1.7.7,js,https://github.com/axios/axios,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
base32-decode,1.0.0,js,https://github.com/LinusU/base32-decode,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
base32-encode,2.0.0,js,https://github.com/LinusU/base32-encode,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
bulma,0.9.4,js,https://github.com/jgthms/bulma,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
core-js,3.38.1,js,https://github.com/zloirock/core-js,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
ethers,6.13.4,js,https://github.com/ethers-io/ethers.js,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
file-saver,2.0.5,js,https://github.com/eligrey/FileSaver.js,MIT,https://spdx.org/licenses/MIT.html,https://www.npmjs.com/package/file-saver (normalized)
hashconnect,0.1.10,js,https://github.com/Hashpack/hashconnect,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
jszip,3.10.1,js,https://github.com/Stuk/jszip,MIT,https://spdx.org/licenses/MIT.html,https://github.com/Stuk/jszip?tab=readme-ov-file#license (normalized)
multiformats,13.3.0,js,https://github.com/multiformats/js-multiformats,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://www.npmjs.com/package/multiformats (normalized)
prismjs,1.29.0,js,https://github.com/PrismJS/prism,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
vue,3.5.12,js,https://github.com/vuejs/core,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
vue-router,4.4.5,js,https://github.com/vuejs/router,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
