name,version,language,repository,license,license-url,license-source
@ethersproject/abi,5.7.0,js,https://github.com/ethers-io/ethers.js,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@ethersproject/bignumber,5.7.0,js,https://github.com/ethers-io/ethers.js,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@ethersproject/bytes,5.7.0,js,https://github.com/ethers-io/ethers.js,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@ethersproject/rlp,5.7.0,js,https://github.com/ethers-io/ethers.js,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@grpc/grpc-js,1.8.2,js,https://github.com/grpc/grpc-node/tree/master/packages/grpc-js,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,npm show (normalized)
@hashgraph/cryptography,1.4.8-beta.9,js,https://github.com/hashgraph/hedera-sdk-js,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,npm show (normalized)
@hashgraph/proto,2.15.0-beta.4,js,https://github.com/hashgraph/hedera-sdk-js,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,npm show (normalized)
axios,1.7.7,js,https://github.com/axios/axios,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
bignumber.js,9.1.2,js,https://github.com/MikeMcl/bignumber.js,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
bn.js,5.2.1,js,https://github.com/indutny/bn.js,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
crypto-js,4.2.0,js,https://github.com/brix/crypto-js,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
js-base64,3.7.7,js,https://github.com/dankogai/js-base64,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,npm show (normalized)
long,4.0.0,js,https://github.com/dcodeIO/long.js,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,npm show (normalized)
pino,8.21.0,js,https://github.com/pinojs/pino,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
pino-pretty,10.3.1,js,https://github.com/pinojs/pino-pretty,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
protobufjs,7.2.5,js,https://github.com/protobufjs/protobuf.js,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,npm show (normalized)
rfc4648,1.5.3,js,https://github.com/swansontec/rfc4648.js,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
utf8,3.0.0,js,https://github.com/mathiasbynens/utf8.js,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
