name,version,repository,license,license-url,license-source
num-integer,v0.1.46,https://github.com/rust-num/num-integer,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/rust-num/num-integer
hmac,v0.12.1,https://github.com/RustCrypto/MACs,Unknown,Unknown,-
socket2,v0.5.7,https://github.com/rust-lang/socket2,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/rust-lang/socket2
num-bigint,v0.4.6,https://github.com/rust-num/num-bigint,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/rust-num/num-bigint
utf8parse,v0.2.2,https://github.com/alacritty/vte,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/alacritty/vte
keccak,v0.1.5,https://github.com/RustCrypto/sponges/tree/master/keccak,Unknown,Unknown,-
quote,v1.0.36,https://github.com/dtolnay/quote,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/dtolnay/quote
hyper,v0.14.30,https://github.com/hyperium/hyper,MIT License,https://api.github.com/licenses/mit,https://api.github.com/repos/hyperium/hyper
digest,v0.10.7,https://github.com/RustCrypto/traits,Unknown,Unknown,-
hashbrown,v0.12.3,https://github.com/rust-lang/hashbrown,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/rust-lang/hashbrown
cbc,v0.1.2,https://github.com/RustCrypto/block-modes,Unknown,Unknown,-
signature,v2.2.0,https://github.com/RustCrypto/traits/tree/master/signature,Unknown,Unknown,-
matchit,v0.7.3,https://github.com/ibraheemdev/matchit,MIT License,https://api.github.com/licenses/mit,https://api.github.com/repos/ibraheemdev/matchit
futures-sink,v0.3.30,https://github.com/rust-lang/futures-rs,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/rust-lang/futures-rs
crypto-common,v0.1.6,https://github.com/RustCrypto/traits,Unknown,Unknown,-
futures-util,v0.3.30,https://github.com/rust-lang/futures-rs,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/rust-lang/futures-rs
anyhow,v1.0.86,https://github.com/dtolnay/anyhow,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/dtolnay/anyhow
rfc6979,v0.4.0,https://github.com/RustCrypto/signatures/tree/master/rfc6979,Unknown,Unknown,-
ppv-lite86,v0.2.20,https://github.com/cryptocorrosion/cryptocorrosion,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/cryptocorrosion/cryptocorrosion
base64,v0.22.1,https://github.com/marshallpierce/rust-base64,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/marshallpierce/rust-base64
rustls,v0.22.4,https://github.com/rustls/rustls,Unknown,Unknown,-
rustls-pemfile,v2.1.3,https://github.com/rustls/pemfile,Unknown,Unknown,-
tonic,v0.11.0,https://github.com/hyperium/tonic,MIT License,https://api.github.com/licenses/mit,https://api.github.com/repos/hyperium/tonic
unicode-ident,v1.0.12,https://github.com/dtolnay/unicode-ident,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/dtolnay/unicode-ident
thiserror-impl,v1.0.63,https://github.com/dtolnay/thiserror,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/dtolnay/thiserror
tokio-util,v0.7.11,https://github.com/tokio-rs/tokio,MIT License,https://api.github.com/licenses/mit,https://api.github.com/repos/tokio-rs/tokio
axum-core,v0.3.4,https://github.com/tokio-rs/axum,Unknown,Unknown,-
curve25519-dalek,v4.1.3,https://github.com/dalek-cryptography/curve25519-dalek/tree/main/curve25519-dalek,Unknown,Unknown,-
rustix,v0.38.34,https://github.com/bytecodealliance/rustix,Unknown,Unknown,-
autocfg,v1.3.0,https://github.com/cuviper/autocfg,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/cuviper/autocfg
zerocopy,v0.7.35,https://github.com/google/zerocopy,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/google/zerocopy
block-buffer,v0.10.4,https://github.com/RustCrypto/utils,Unknown,Unknown,-
zerocopy-derive,v0.7.35,https://github.com/google/zerocopy,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/google/zerocopy
sha2,v0.10.8,https://github.com/RustCrypto/hashes,Unknown,Unknown,-
subtle,v2.6.1,https://github.com/dalek-cryptography/subtle,"BSD 3-Clause ""New"" or ""Revised"" License",https://api.github.com/licenses/bsd-3-clause,https://api.github.com/repos/dalek-cryptography/subtle
bytes,v1.7.1,https://github.com/tokio-rs/bytes,MIT License,https://api.github.com/licenses/mit,https://api.github.com/repos/tokio-rs/bytes
rustc-hex,v2.1.0,https://github.com/debris/rustc-hex,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/debris/rustc-hex
arrayvec,v0.7.4,https://github.com/bluss/arrayvec,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/bluss/arrayvec
instant,v0.1.13,https://github.com/sebcrozet/instant,"BSD 3-Clause ""New"" or ""Revised"" License",https://api.github.com/licenses/bsd-3-clause,https://api.github.com/repos/sebcrozet/instant
rustc_version,v0.4.0,https://github.com/Kimundi/rustc-version-rs,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/Kimundi/rustc-version-rs
serde,v1.0.205,https://github.com/serde-rs/serde,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/serde-rs/serde
sec1,v0.7.3,https://github.com/RustCrypto/formats/tree/master/sec1,Unknown,Unknown,-
zeroize,v1.8.1,https://github.com/RustCrypto/utils/tree/master/zeroize,Unknown,Unknown,-
itoa,v1.0.11,https://github.com/dtolnay/itoa,Apache License 2.0,https://api.github.com/licenses/apache-2.0,https://api.github.com/repos/dtolnay/itoa
tracing,v0.1.40,https://github.com/tokio-rs/tracing,MIT License,https://api.github.com/licenses/mit,https://api.github.com/repos/tokio-rs/tracing
anstyle-query,v1.1.1,https://github.com/rust-cli/anstyle,Unknown,Unknown,-
