name,version,language,repository,license,license-url,license-source
AnyAsyncSequence,1.0.2,swift,https://github.com/vsanthanam/AnyAsyncSequence,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/vsanthanam/AnyAsyncSequence (normalized)
CryptoSwift,1.8.0,swift,https://github.com/krzyzanowskim/CryptoSwift,Other,Unknown,https://api.github.com/repos/krzyzanowskim/CryptoSwift
NumberKit,2.6.0,swift,https://github.com/objecthub/swift-numberkit,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/objecthub/swift-numberkit (normalized)
SwiftDocCPlugin,1.3.0,swift,https://github.com/apple/swift-docc-plugin,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/apple/swift-docc-plugin (normalized)
SwiftProtobuf,1.27.1,swift,https://github.com/apple/swift-protobuf,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/apple/swift-protobuf (normalized)
SymbolKit,1.0.0,swift,https://github.com/apple/swift-docc-symbolkit,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/apple/swift-docc-symbolkit (normalized)
async-http-client,1.20.0,swift,https://github.com/swift-server/async-http-client,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/swift-server/async-http-client (normalized)
async-kit,1.18.0,swift,https://github.com/vapor/async-kit,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/vapor/async-kit (normalized)
console-kit,4.14.3,swift,https://github.com/vapor/console-kit,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/vapor/console-kit (normalized)
grpc-swift,1.23.0,swift,https://github.com/grpc/grpc-swift,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,https://api.github.com/repos/grpc/grpc-swift (normalized)
multipart-kit,4.5.4,swift,https://github.com/vapor/multipart-kit,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/vapor/multipart-kit (normalized)
routing-kit,4.9.1,swift,https://github.com/vapor/routing-kit,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/vapor/routing-kit (normalized)
secp256k1,0.12.2,swift,https://github.com/GigaBitcoin/secp256k1.swift,MIT,https://spdx.org/licenses/MIT.html,https://api.github.com/repos/GigaBitcoin/secp256k1.swift (normalized)
