name,version,language,repository,license,license-url,license-source
@eslint/eslintrc,3.1.0,js,https://github.com/eslint/eslintrc,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@hashgraph/sdk,2.52.0,js,https://github.com/hashgraph/hedera-sdk-js,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,npm show (normalized)
@kubernetes/client-node,0.22.2,js,https://github.com/kubernetes-client/javascript,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,npm show (normalized)
@listr2/prompt-adapter-enquirer,2.0.12,js,https://github.com/listr2/listr2,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
@peculiar/x509,1.12.3,js,https://github.com/PeculiarVentures/x509,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
adm-zip,0.5.16,js,https://github.com/cthackers/adm-zip,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
chalk,5.3.0,js,https://github.com/chalk/chalk,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
dot-object,2.1.5,js,https://github.com/rhalff/dot-object,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
dotenv,16.4.5,js,https://github.com/motdotla/dotenv,BSD-2-Clause,https://spdx.org/licenses/BSD-2-Clause.html,npm show (normalized)
enquirer,2.4.1,js,https://github.com/enquirer/enquirer,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
esm,3.2.25,js,https://github.com/standard-things/esm,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
figlet,1.8.0,js,https://github.com/patorjk/figlet.js,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
got,14.4.4,js,https://github.com/sindresorhus/got,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
inquirer,12.0.1,js,https://github.com/SBoudrias/Inquirer.js,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
ip,2.0.1,js,https://github.com/indutny/node-ip,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
js-base64,3.7.7,js,https://github.com/dankogai/js-base64,BSD-3-Clause,https://spdx.org/licenses/BSD-3-Clause.html,npm show (normalized)
js-yaml,4.1.0,js,https://github.com/nodeca/js-yaml,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
jsdoc,4.0.4,js,https://github.com/jsdoc/jsdoc,Apache-2.0,https://spdx.org/licenses/Apache-2.0.html,npm show (normalized)
listr2,8.2.5,js,https://github.com/listr2/listr2,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
semver,7.6.3,js,https://github.com/npm/node-semver,ISC,https://spdx.org/licenses/ISC.html,npm show (normalized)
stream-buffers,3.0.3,js,https://github.com/samcday/node-stream-buffer,Unlicense,https://spdx.org/licenses/Unlicense.html,npm show (normalized)
tar,7.4.3,js,https://github.com/isaacs/node-tar,ISC,https://spdx.org/licenses/ISC.html,npm show (normalized)
ts-node,10.9.2,js,https://github.com/TypeStrong/ts-node,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
uuid,11.0.2,js,https://github.com/uuidjs/uuid,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
winston,3.16.0,js,https://github.com/winstonjs/winston,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
yaml,2.6.0,js,https://github.com/eemeli/yaml,ISC,https://spdx.org/licenses/ISC.html,npm show (normalized)
yargs,17.7.2,js,https://github.com/yargs/yargs,MIT,https://spdx.org/licenses/MIT.html,npm show (normalized)
